date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,265,0,65,0,227,200,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,200,0,71,0,227,129,0,1,1,65,0,0,0,65.0,65.0,65.0,65.0,0.9999999846153849,1.0
2023-01-03,356,0,87,227,227,269,1,1,1,71,65,0,0,136.0,68.0,136.0,68.0,0.9999999852941179,3.0
2023-01-04,496,0,77,227,227,419,2,1,1,87,71,0,0,223.0,74.33333333333333,223.0,74.33333333333333,0.9999999865470854,5.0
2023-01-05,646,0,55,227,0,591,3,1,1,77,87,0,0,300.0,75.0,300.0,75.0,0.9999999866666669,7.0
2023-01-06,818,0,56,227,0,762,4,1,1,55,77,0,0,355.0,71.0,355.0,71.0,0.9999999859154932,10.0
2023-01-07,762,0,69,0,0,693,5,1,1,56,55,0,0,411.0,68.5,411.0,68.5,0.9999999854014601,10.0
2023-01-08,693,0,72,0,0,621,6,1,1,69,56,65,0,480.0,68.57142857142857,480.0,68.57142857142857,0.9999999854166669,9.0
2023-01-09,621,1,59,0,0,561,0,2,1,72,69,71,0,487.0,69.57142857142857,552.0,69.0,1.0082815588861886,8.0
2023-01-10,561,0,76,0,0,485,1,2,1,59,72,87,0,475.0,67.85714285714286,611.0,67.88888888888889,0.9995323677880433,7.0
2023-01-11,485,0,83,0,227,402,2,2,1,76,59,77,0,464.0,66.28571428571429,687.0,68.7,0.964857544699516,6.0
2023-01-12,402,0,63,0,227,339,3,2,1,83,76,55,0,470.0,67.14285714285714,770.0,70.0,0.959183659766764,5.0
2023-01-13,566,0,82,227,0,484,4,2,1,63,83,56,0,478.0,68.28571428571429,833.0,69.41666666666667,0.9837077546507544,7.0
2023-01-14,711,0,63,227,0,648,5,2,1,82,63,69,0,504.0,72.0,915.0,70.38461538461539,1.022950805138404,8.0
