date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,231,0,0,0,0,231,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,231,0,0,0,0,231,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
2023-01-03,231,0,0,0,0,231,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
2023-01-04,231,0,0,0,0,231,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
2023-01-05,231,0,0,0,0,231,3,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
2023-01-06,231,0,1,0,0,230,4,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
2023-01-07,230,0,0,0,0,230,5,1,1,1,0,0,0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.9999940000359998,1379.0
2023-01-08,230,1,1,0,0,228,6,1,1,0,1,0,0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.9999930000489996,1595.0
2023-01-09,228,0,0,0,0,228,0,2,1,1,0,0,0,2.0,0.2857142857142857,2.0,0.25,1.1428525714468571,797.0
2023-01-10,228,0,0,0,0,228,1,2,1,0,1,0,0,2.0,0.2857142857142857,2.0,0.2222222222222222,1.2857085000260355,797.0
2023-01-11,228,0,1,0,0,227,2,2,1,0,0,0,0,2.0,0.2857142857142857,2.0,0.2,1.4285642857499996,794.0
2023-01-12,227,0,1,0,0,226,3,2,1,1,0,0,0,3.0,0.42857142857142855,3.0,0.2727272727272727,1.5714228095449365,527.0
2023-01-13,226,0,0,0,0,226,4,2,1,1,1,1,0,4.0,0.5714285714285714,4.0,0.3333333333333333,1.7142805714440001,395.0
2023-01-14,226,0,0,0,0,226,5,2,1,0,1,0,0,3.0,0.42857142857142855,4.0,0.3076923076923077,1.3928526160861405,527.0
2023-01-15,226,1,0,0,0,225,6,2,1,0,0,1,0,3.0,0.42857142857142855,4.0,0.2857142857142857,1.499994750018375,524.0
2023-01-16,225,0,0,0,0,225,0,3,1,0,0,0,0,2.0,0.2857142857142857,4.0,0.26666666666666666,1.0714245535864955,787.0
2023-01-17,225,1,0,0,0,224,1,3,1,0,0,0,0,2.0,0.2857142857142857,4.0,0.25,1.1428525714468571,783.0
2023-01-18,224,1,0,0,0,223,2,3,1,0,0,1,0,2.0,0.2857142857142857,4.0,0.23529411764705882,1.2142805535933614,780.0
2023-01-19,223,0,0,0,0,223,3,3,1,0,0,1,0,1.0,0.14285714285714285,4.0,0.2222222222222222,0.6428542500130178,1560.0
2023-01-20,223,0,1,0,0,222,4,3,1,0,0,0,1,0.0,0.0,4.0,0.21052631578947367,0.0,
2023-01-21,222,1,0,0,0,221,5,3,1,1,0,0,0,1.0,0.14285714285714285,5.0,0.25,0.5714262857234286,1546.0
