date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,274,0,6,0,0,268,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,268,0,13,0,0,255,0,1,1,6,0,0,0,6.0,6.0,6.0,6.0,0.9999998333333611,42.0
2023-01-03,255,0,20,0,0,235,1,1,1,13,6,0,0,19.0,9.5,19.0,9.5,0.9999998947368532,24.0
2023-01-04,235,0,14,0,0,221,2,1,1,20,13,0,0,39.0,13.0,39.0,13.0,0.9999999230769291,16.0
2023-01-05,221,0,19,0,0,202,3,1,1,14,20,0,0,53.0,13.25,53.0,13.25,0.9999999245283077,15.0
2023-01-06,202,0,22,0,0,180,4,1,1,19,14,0,0,72.0,14.4,72.0,14.4,0.9999999305555605,12.0
2023-01-07,180,0,3,0,0,177,5,1,1,22,19,0,0,94.0,15.666666666666666,94.0,15.666666666666666,0.9999999361702169,11.0
2023-01-08,177,0,10,0,0,167,6,1,1,3,22,6,0,97.0,13.857142857142858,97.0,13.857142857142858,0.9999999278350568,12.0
2023-01-09,167,0,20,0,0,147,0,2,1,10,3,13,0,101.0,14.428571428571429,107.0,13.375,1.078771614938304,10.0
2023-01-10,147,0,14,0,0,133,1,2,1,20,10,20,0,108.0,15.428571428571429,127.0,14.11111111111111,1.093363252101367,8.0
2023-01-11,133,0,16,0,0,117,2,2,1,14,20,14,0,102.0,14.571428571428571,141.0,14.1,1.0334345771626947,8.0
2023-01-12,117,0,14,0,168,103,3,2,1,16,14,19,0,104.0,14.857142857142858,157.0,14.272727272727273,1.040946241899126,6.0
2023-01-13,103,0,14,0,181,89,4,2,1,14,16,22,0,99.0,14.142857142857142,171.0,14.25,0.99248113335972,6.0
2023-01-14,257,0,3,168,0,254,5,2,1,14,14,3,0,91.0,13.0,185.0,14.23076923076923,0.9135134493206767,19.0
2023-01-15,435,1,8,181,0,426,6,2,1,3,14,10,6,91.0,13.0,188.0,13.428571428571429,0.96808503429154,32.0
2023-01-16,426,1,9,0,0,416,0,3,1,8,3,20,13,89.0,12.714285714285714,196.0,13.066666666666666,0.9730319955041111,32.0
2023-01-17,416,0,16,0,0,400,1,3,1,9,8,14,20,78.0,11.142857142857142,205.0,12.8125,0.8696863432718673,35.0
2023-01-18,400,0,21,0,0,379,2,3,1,16,9,16,14,80.0,11.428571428571429,221.0,13.0,0.8791208114962014,33.0
2023-01-19,379,0,23,0,0,356,3,3,1,21,16,14,19,85.0,12.142857142857142,242.0,13.444444444444445,0.9031876541902926,29.0
2023-01-20,356,0,20,0,0,336,4,3,1,23,21,14,22,94.0,13.428571428571429,265.0,13.947368421052632,0.9628031654701774,25.0
2023-01-21,336,0,8,0,0,328,5,3,1,20,23,3,3,100.0,14.285714285714286,285.0,14.25,1.0025061953128485,22.0
2023-01-22,328,0,9,0,0,319,6,3,1,8,20,8,10,105.0,15.0,293.0,13.952380952380953,1.0750852471781904,21.0
2023-01-23,319,1,16,0,0,302,0,4,1,9,8,9,20,106.0,15.142857142857142,302.0,13.727272727272727,1.1031219631595164,19.0
2023-01-24,302,0,21,0,0,281,1,4,1,16,9,16,14,113.0,16.142857142857142,318.0,13.826086956521738,1.1675650548167233,17.0
2023-01-25,281,0,14,0,0,267,2,4,1,21,16,21,16,118.0,16.857142857142858,339.0,14.125,1.1934259584932319,15.0
2023-01-26,267,0,16,0,0,251,3,4,1,14,21,23,14,111.0,15.857142857142858,353.0,14.12,1.1230270349940386,15.0
2023-01-27,251,0,21,0,0,230,4,4,1,16,14,20,14,104.0,14.857142857142858,369.0,14.192307692307692,1.0468446804004137,15.0
2023-01-28,230,0,6,0,0,224,5,4,1,21,16,8,3,105.0,15.0,390.0,14.444444444444445,1.0384614665680523,14.0
2023-01-29,224,1,6,0,0,217,6,4,1,6,21,9,8,103.0,14.714285714285714,396.0,14.142857142857142,1.0404039668401237,14.0
