date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,397,1,4,0,0,392,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,392,0,8,0,0,384,0,1,1,4,0,0,0,4.0,4.0,4.0,4.0,0.9999997500000625,95.0
2023-01-03,384,0,7,0,0,377,1,1,1,8,4,0,0,12.0,6.0,12.0,6.0,0.9999998333333611,62.0
2023-01-04,377,0,2,0,0,375,2,1,1,7,8,0,0,19.0,6.333333333333333,19.0,6.333333333333333,0.999999842105288,59.0
2023-01-05,375,0,7,0,0,368,3,1,1,2,7,0,0,21.0,5.25,21.0,5.25,0.9999998095238458,70.0
2023-01-06,368,0,10,0,0,358,4,1,1,7,2,0,0,28.0,5.6,28.0,5.6,0.9999998214286033,63.0
2023-01-07,358,0,7,0,0,351,5,1,1,10,7,0,0,38.0,6.333333333333333,38.0,6.333333333333333,0.999999842105288,55.0
2023-01-08,351,0,11,0,0,340,6,1,1,7,10,4,0,45.0,6.428571428571429,45.0,6.428571428571429,0.9999998444444687,52.0
2023-01-09,340,0,5,0,0,335,0,2,1,11,7,8,0,52.0,7.428571428571429,56.0,7.0,1.0612243381924416,45.0
2023-01-10,335,1,5,0,0,329,1,2,1,5,11,7,0,49.0,7.0,61.0,6.777777777777778,1.0327867328675313,46.0
2023-01-11,329,0,5,0,0,324,2,2,1,5,5,2,0,47.0,6.714285714285714,66.0,6.6,1.0173158631772503,48.0
2023-01-12,324,0,9,0,0,315,3,2,1,5,5,7,0,50.0,7.142857142857143,71.0,6.454545454545454,1.1066396675829893,44.0
2023-01-13,315,0,8,0,0,307,4,2,1,9,5,10,0,52.0,7.428571428571429,80.0,6.666666666666667,1.114285547142882,41.0
2023-01-14,307,0,5,0,0,302,5,2,1,8,9,7,0,50.0,7.142857142857143,88.0,6.769230769230769,1.0551946493137776,42.0
2023-01-15,302,1,9,0,0,292,6,2,1,5,8,11,4,48.0,6.857142857142857,93.0,6.642857142857143,1.032257909122465,42.0
2023-01-16,292,0,13,0,0,279,0,3,1,9,5,5,8,46.0,6.571428571428571,102.0,6.8,0.9663864125061998,42.0
2023-01-17,279,0,7,0,0,272,1,3,1,13,9,5,7,54.0,7.714285714285714,115.0,7.1875,1.073291776138287,35.0
2023-01-18,272,0,10,0,0,262,2,3,1,7,13,5,2,56.0,8.0,122.0,7.176470588235294,1.1147539430260898,32.0
2023-01-19,262,0,7,0,0,255,3,3,1,10,7,9,7,61.0,8.714285714285714,132.0,7.333333333333333,1.1883115262692074,29.0
2023-01-20,255,0,9,0,0,246,4,3,1,7,10,8,10,59.0,8.428571428571429,139.0,7.315789473684211,1.152106728437621,29.0
2023-01-21,246,0,5,0,0,241,5,3,1,9,7,5,7,60.0,8.571428571428571,148.0,7.4,1.1583010017739959,28.0
2023-01-22,241,0,11,0,0,230,6,3,1,5,9,9,11,60.0,8.571428571428571,153.0,7.285714285714286,1.176470426758961,26.0
2023-01-23,230,0,14,0,0,216,0,4,1,11,5,13,5,62.0,8.857142857142858,164.0,7.454545454545454,1.1881531507181315,24.0
2023-01-24,216,0,6,0,0,210,1,4,1,14,11,7,5,63.0,9.0,178.0,7.739130434782608,1.1629211980495082,23.0
2023-01-25,210,0,5,0,0,205,2,4,1,6,14,10,5,62.0,8.857142857142858,184.0,7.666666666666667,1.1552793524169789,23.0
2023-01-26,205,0,11,0,0,194,3,4,1,5,6,7,9,57.0,8.142857142857142,189.0,7.56,1.0770973631957381,23.0
2023-01-27,194,0,9,0,0,185,4,4,1,11,5,9,8,61.0,8.714285714285714,200.0,7.6923076923076925,1.1328569955857333,21.0
2023-01-28,185,0,3,0,0,182,5,4,1,9,11,5,5,61.0,8.714285714285714,209.0,7.7407407407407405,1.125768822439981,20.0
2023-01-29,182,0,9,0,0,173,6,4,1,3,9,11,9,59.0,8.428571428571429,212.0,7.571428571428571,1.1132074001424188,20.0
2023-01-30,173,0,6,0,0,167,0,5,1,9,3,14,13,57.0,8.142857142857142,221.0,7.620689655172414,1.0685195753655632,20.0
2023-01-31,167,0,4,0,0,163,1,5,1,6,9,6,7,49.0,7.0,227.0,7.566666666666666,0.9251100098973555,23.0
2023-02-01,163,0,7,0,0,156,2,5,2,4,6,5,10,47.0,6.714285714285714,227.0,7.566666666666666,0.8873504176566471,23.0
2023-02-02,156,0,8,0,0,148,3,5,2,7,4,11,7,49.0,7.0,226.0,7.533333333333333,0.9292034164774226,21.0
2023-02-03,148,0,7,0,0,141,4,5,2,8,7,9,9,46.0,6.571428571428571,227.0,7.566666666666666,0.868470621536293,21.0
2023-02-04,141,0,6,0,0,135,5,5,2,7,8,3,5,44.0,6.285714285714286,232.0,7.733333333333333,0.8128077766689451,21.0
2023-02-05,135,0,8,0,0,127,6,5,2,6,7,9,11,47.0,6.714285714285714,231.0,7.7,0.8719850444546324,18.0
2023-02-06,127,0,12,0,0,115,0,6,2,8,6,6,14,46.0,6.571428571428571,229.0,7.633333333333334,0.8608857262719883,17.0
2023-02-07,115,0,9,0,0,106,1,6,2,12,8,4,6,52.0,7.428571428571429,234.0,7.8,0.952380830280846,14.0
2023-02-08,106,0,7,0,0,99,2,6,2,9,12,7,5,57.0,8.142857142857142,232.0,7.733333333333333,1.052955528866588,12.0
2023-02-09,99,0,8,0,0,91,3,6,2,7,9,8,11,57.0,8.142857142857142,234.0,7.8,1.0439559101155427,11.0
2023-02-10,91,0,3,0,0,88,4,6,2,8,7,7,9,57.0,8.142857142857142,237.0,7.9,1.030741280014666,10.0
2023-02-11,88,0,8,0,0,80,5,6,2,3,8,6,3,53.0,7.571428571428571,235.0,7.833333333333333,0.9665652261527675,10.0
2023-02-12,80,0,9,0,0,71,6,6,2,8,3,8,9,55.0,7.857142857142857,234.0,7.8,1.0073258781816639,9.0
2023-02-13,71,0,4,0,0,67,0,7,2,9,8,12,6,56.0,8.0,235.0,7.833333333333333,1.0212764653689619,8.0
2023-02-14,67,0,7,0,0,60,1,7,2,4,9,9,4,48.0,6.857142857142857,234.0,7.8,0.8791207664130886,8.0
2023-02-15,60,0,5,0,153,55,2,7,2,7,4,7,7,46.0,6.571428571428571,232.0,7.733333333333333,0.8497535846993517,8.0
2023-02-16,55,0,5,0,155,50,3,7,2,5,7,8,8,44.0,6.285714285714286,224.0,7.466666666666667,0.8418366219479013,7.0
2023-02-17,203,1,7,153,0,195,4,7,2,5,5,3,7,41.0,5.857142857142857,222.0,7.4,0.7915056845455638,33.0
2023-02-18,350,0,14,155,0,336,5,7,2,7,5,8,6,45.0,6.428571428571429,219.0,7.3,0.8806261024582639,52.0
2023-02-19,336,0,10,0,0,326,6,7,2,14,7,9,8,51.0,7.285714285714286,226.0,7.533333333333333,0.9671300865377256,44.0
2023-02-20,326,1,6,0,0,319,0,8,2,10,14,4,12,52.0,7.428571428571429,227.0,7.566666666666666,0.9817493982584181,42.0
2023-02-21,319,1,3,0,0,315,1,8,2,6,10,7,9,54.0,7.714285714285714,228.0,7.6,1.015037460427402,40.0
2023-02-22,315,0,8,0,0,307,2,8,2,3,6,5,7,50.0,7.142857142857143,220.0,7.333333333333333,0.9740258412042685,42.0
2023-02-23,307,0,8,0,0,299,3,8,2,8,3,5,8,53.0,7.571428571428571,214.0,7.133333333333334,1.0614150714972195,39.0
2023-02-24,299,0,6,0,0,293,4,8,2,8,8,7,3,56.0,8.0,216.0,7.2,1.111110956790145,36.0
2023-02-25,293,0,3,0,0,290,5,8,2,6,8,14,8,55.0,7.857142857142857,217.0,7.233333333333333,1.086240797820561,36.0
2023-02-26,290,0,9,0,0,281,6,8,2,3,6,10,9,44.0,6.285714285714286,209.0,6.966666666666667,0.9022555095873841,44.0
2023-02-27,281,0,7,0,0,274,0,9,2,9,3,6,4,43.0,6.142857142857143,209.0,6.966666666666667,0.8817497025513072,44.0
2023-02-28,274,0,3,0,0,271,1,9,2,7,9,3,7,44.0,6.285714285714286,213.0,7.1,0.8853117465355689,43.0
2023-03-01,271,0,6,0,0,265,2,9,3,3,7,8,5,44.0,6.285714285714286,207.0,6.9,0.9109729528610626,42.0
2023-03-02,265,0,9,0,0,256,3,9,3,6,3,8,5,42.0,6.0,207.0,6.9,0.869565091367378,42.0
2023-03-03,256,0,14,0,0,242,4,9,3,9,6,6,7,43.0,6.142857142857143,212.0,7.066666666666666,0.8692721141865607,39.0
2023-03-04,242,0,3,0,0,239,5,9,3,14,9,3,14,51.0,7.285714285714286,219.0,7.3,0.9980429161193657,32.0
2023-03-05,239,0,6,0,0,233,6,9,3,3,14,9,10,51.0,7.285714285714286,214.0,7.133333333333334,1.021361672572796,31.0
2023-03-06,233,0,9,0,0,224,0,10,3,6,3,7,6,48.0,6.857142857142857,213.0,7.1,0.9657946325842569,32.0
2023-03-07,224,0,6,0,0,218,1,10,3,9,6,3,3,50.0,7.142857142857143,216.0,7.2,0.992063354276915,30.0
2023-03-08,218,0,9,0,0,209,2,10,3,6,9,6,8,53.0,7.571428571428571,214.0,7.133333333333334,1.0614150714972195,27.0
2023-03-09,209,0,4,0,0,205,3,10,3,9,6,9,8,56.0,8.0,211.0,7.033333333333333,1.137440596572427,25.0
2023-03-10,205,0,8,0,0,197,4,10,3,4,9,14,6,51.0,7.285714285714286,206.0,6.866666666666666,1.0610261977701099,27.0
2023-03-11,197,0,9,0,0,188,5,10,3,8,4,3,3,45.0,6.428571428571429,207.0,6.9,0.931676883607905,29.0
2023-03-12,188,0,7,0,0,181,6,10,3,9,8,6,9,51.0,7.285714285714286,208.0,6.933333333333334,1.0508240242630185,24.0
2023-03-13,181,0,5,0,0,176,0,11,3,7,9,9,7,52.0,7.428571428571429,212.0,7.066666666666666,1.051212789248864,23.0
2023-03-14,176,0,11,0,0,165,1,11,3,5,7,6,3,48.0,6.857142857142857,209.0,6.966666666666667,0.9842787377316917,24.0
2023-03-15,165,0,8,0,0,157,2,11,3,11,5,9,6,53.0,7.571428571428571,211.0,7.033333333333333,1.0765062788989042,20.0
2023-03-16,157,0,10,0,0,147,3,11,3,8,11,4,9,52.0,7.428571428571429,215.0,7.166666666666667,1.036544705864194,19.0
2023-03-17,147,0,5,0,0,142,4,11,3,10,8,8,14,58.0,8.285714285714286,218.0,7.266666666666667,1.1402357539649357,17.0
2023-03-18,142,0,6,0,0,136,5,11,3,5,10,9,3,55.0,7.857142857142857,218.0,7.266666666666667,1.081258042552956,17.0
2023-03-19,136,0,4,0,0,132,6,11,3,6,5,7,6,52.0,7.428571428571429,219.0,7.3,1.0176123850628827,17.0
2023-03-20,132,0,4,0,0,128,0,12,3,4,6,5,9,49.0,7.0,216.0,7.2,0.9722220871913767,18.0
2023-03-21,128,0,7,0,0,121,1,12,3,4,4,11,6,48.0,6.857142857142857,206.0,6.866666666666666,0.9986128920189269,17.0
2023-03-22,121,0,1,0,0,120,2,12,3,7,4,8,9,44.0,6.285714285714286,203.0,6.766666666666667,0.9289231561760289,19.0
2023-03-23,120,0,10,0,0,110,3,12,3,1,7,10,4,37.0,5.285714285714286,198.0,6.6,0.8008656795225161,20.0
2023-03-24,110,0,8,0,0,102,4,12,3,10,1,5,8,37.0,5.285714285714286,205.0,6.833333333333333,0.7735190505651564,19.0
2023-03-25,102,0,5,0,0,97,5,12,3,8,10,6,9,40.0,5.714285714285714,205.0,6.833333333333333,0.8362368114217907,16.0
2023-03-26,97,0,4,0,0,93,6,12,3,5,8,4,7,39.0,5.571428571428571,202.0,6.733333333333333,0.8274397639587338,16.0
2023-03-27,93,0,9,0,0,84,0,13,3,4,5,4,5,39.0,5.571428571428571,200.0,6.666666666666667,0.8357141603571616,15.0
2023-03-28,84,0,6,0,0,78,1,13,3,9,4,7,11,44.0,6.285714285714286,206.0,6.866666666666666,0.9153951510173497,12.0
2023-03-29,78,0,8,0,0,70,2,13,3,6,9,1,8,43.0,6.142857142857143,203.0,6.766666666666667,0.9078112662629375,11.0
2023-03-30,70,0,7,0,0,63,3,13,3,8,6,10,10,50.0,7.142857142857143,204.0,6.8,1.0504200135936956,8.0
2023-03-31,63,0,5,0,0,58,4,13,3,7,8,8,5,47.0,6.714285714285714,208.0,6.933333333333334,0.9684064537325856,8.0
2023-04-01,58,0,11,0,154,47,5,13,4,5,7,5,6,44.0,6.285714285714286,207.0,6.9,0.9109729528610626,7.0
2023-04-02,47,0,3,0,151,44,6,13,4,11,5,4,4,50.0,7.142857142857143,209.0,6.966666666666667,1.0252903518038456,6.0
2023-04-03,198,0,2,154,0,196,0,14,4,3,11,9,4,49.0,7.0,198.0,6.6,1.060605899908197,27.0
2023-04-04,347,0,9,151,0,338,1,14,4,2,3,6,7,42.0,6.0,197.0,6.566666666666666,0.9137054446133841,56.0
2023-04-05,338,2,8,0,0,328,2,14,4,9,2,8,1,45.0,6.428571428571429,200.0,6.666666666666667,0.9642855696428788,51.0
2023-04-06,328,1,9,0,0,318,3,14,4,8,9,7,10,45.0,6.428571428571429,199.0,6.633333333333334,0.9691312250412367,49.0
2023-04-07,318,0,5,0,0,313,4,14,4,9,8,5,8,47.0,6.714285714285714,202.0,6.733333333333333,0.9971709975912946,46.0
2023-04-08,313,0,7,0,0,306,5,14,4,5,9,11,5,47.0,6.714285714285714,198.0,6.6,1.0173158631772503,45.0
2023-04-09,306,0,2,0,0,304,6,14,4,7,5,3,4,43.0,6.142857142857143,201.0,6.7,0.9168442128377507,49.0
2023-04-10,304,0,10,0,0,294,0,15,4,2,7,2,9,42.0,6.0,195.0,6.5,0.9230767810651106,48.0
2023-04-11,294,0,2,0,0,292,1,15,4,10,2,9,6,50.0,7.142857142857143,196.0,6.533333333333333,1.0932942933004361,40.0
2023-04-12,292,1,6,0,0,285,2,15,4,2,10,8,8,43.0,6.142857142857143,191.0,6.366666666666666,0.9648465201063806,46.0
2023-04-13,285,0,9,0,0,276,3,15,4,6,2,9,7,41.0,5.857142857142857,192.0,6.4,0.9151784284319419,47.0
2023-04-14,276,0,6,0,0,270,4,15,4,9,6,5,5,41.0,5.857142857142857,190.0,6.333333333333333,0.9248118840522589,46.0
