date,total_onsite_units,expired_units,used_units,newly_added_units,ordered_units,non_expired_inventory,day_of_week,week_of_year,month,used_lag_1,used_lag_2,used_lag_7,used_lag_14,rolling_used_7d_total,rolling_used_7d_avg,rolling_used_30d_total,rolling_used_30d_avg,usage_7d_to_30d_ratio,days_until_stockout_est
2023-01-01,385,0,10,0,0,375,6,52,1,0,0,0,0,0.0,0.0,0.0,0.0,,
2023-01-02,375,0,10,0,0,365,0,1,1,10,0,0,0,10.0,10.0,10.0,10.0,0.99999990000001,36.0
2023-01-03,365,1,8,0,0,356,1,1,1,10,10,0,0,20.0,10.0,20.0,10.0,0.99999990000001,35.0
2023-01-04,356,0,10,0,0,346,2,1,1,8,10,0,0,28.0,9.333333333333334,28.0,9.333333333333334,0.9999998928571544,37.0
2023-01-05,346,0,8,0,0,338,3,1,1,10,8,0,0,38.0,9.5,38.0,9.5,0.9999998947368532,35.0
2023-01-06,338,0,15,0,0,323,4,1,1,8,10,0,0,46.0,9.2,46.0,9.2,0.9999998913043597,35.0
2023-01-07,323,0,14,0,0,309,5,1,1,15,8,0,0,61.0,10.166666666666666,61.0,10.166666666666666,0.999999901639354,30.0
2023-01-08,309,0,8,0,0,301,6,1,1,14,15,10,0,75.0,10.714285714285714,75.0,10.714285714285714,0.9999999066666755,28.0
2023-01-09,301,0,12,0,0,289,0,2,1,8,14,10,0,73.0,10.428571428571429,83.0,10.375,1.005163414304387,27.0
2023-01-10,289,0,10,0,0,279,1,2,1,12,8,8,0,75.0,10.714285714285714,95.0,10.555555555555555,1.0150374978235153,26.0
2023-01-11,279,0,10,0,0,269,2,2,1,10,12,10,0,77.0,11.0,105.0,10.5,1.0476189478458147,24.0
2023-01-12,269,0,7,0,0,262,3,2,1,10,10,8,0,77.0,11.0,115.0,10.454545454545455,1.0521738124007658,23.0
2023-01-13,262,0,11,0,0,251,4,2,1,7,10,15,0,76.0,10.857142857142858,122.0,10.166666666666666,1.0679155858256335,23.0
2023-01-14,251,1,10,0,0,240,5,2,1,11,7,14,0,72.0,10.285714285714286,133.0,10.23076923076923,1.0053704710110498,23.0
2023-01-15,240,0,12,0,0,228,6,2,1,10,11,8,10,68.0,9.714285714285714,143.0,10.214285714285714,0.9510488579392727,23.0
2023-01-16,228,0,6,0,0,222,0,3,1,12,10,12,10,72.0,10.285714285714286,155.0,10.333333333333334,0.9953916087409043,21.0
2023-01-17,222,0,17,0,0,205,1,3,1,6,12,10,8,66.0,9.428571428571429,161.0,10.0625,0.937000794193355,21.0
2023-01-18,205,0,9,0,0,196,2,3,1,17,6,10,10,73.0,10.428571428571429,178.0,10.470588235294118,0.9959870637861473,18.0
2023-01-19,196,0,17,0,0,179,3,3,1,9,17,7,8,72.0,10.285714285714286,187.0,10.38888888888889,0.9900686594739107,17.0
2023-01-20,179,0,10,0,0,169,4,3,1,17,9,11,15,82.0,11.714285714285714,204.0,10.736842105263158,1.0910363129496992,14.0
2023-01-21,169,0,12,0,0,157,5,3,1,10,17,10,14,81.0,11.571428571428571,214.0,10.7,1.0814418214940889,13.0
2023-01-22,157,0,12,0,0,145,6,3,1,12,10,12,8,83.0,11.857142857142858,226.0,10.761904761904763,1.101769809127584,12.0
2023-01-23,145,0,10,0,0,135,0,4,1,12,12,6,12,83.0,11.857142857142858,238.0,10.818181818181818,1.0960383140516805,11.0
2023-01-24,135,0,9,0,0,126,1,4,1,10,12,17,10,87.0,12.428571428571429,248.0,10.782608695652174,1.152649662686293,10.0
2023-01-25,126,0,13,0,0,113,2,4,1,9,10,9,10,79.0,11.285714285714286,257.0,10.708333333333334,1.0539187453816847,10.0
2023-01-26,113,0,10,0,0,103,3,4,1,13,9,17,7,83.0,11.857142857142858,270.0,10.8,1.0978834962277186,8.0
2023-01-27,103,0,11,0,0,92,4,4,1,10,13,10,11,76.0,10.857142857142858,280.0,10.76923076923077,1.008163171690971,8.0
2023-01-28,92,0,19,0,212,73,5,4,1,11,10,12,10,77.0,11.0,291.0,10.777777777777779,1.0206184620044727,6.0
2023-01-29,73,0,12,0,219,61,6,4,1,19,11,12,12,84.0,12.0,310.0,11.071428571428571,1.0838708698439214,5.0
2023-01-30,273,0,11,212,0,262,0,5,1,12,19,10,6,84.0,12.0,322.0,11.10344827586207,1.080745244280708,21.0
2023-01-31,481,0,12,219,0,469,1,5,1,11,12,9,17,85.0,12.142857142857142,333.0,11.1,1.0939509953969502,38.0
2023-02-01,469,0,6,0,0,463,2,5,2,12,11,13,9,88.0,12.571428571428571,335.0,11.166666666666666,1.1257994727429044,36.0
2023-02-02,463,0,11,0,0,452,3,5,2,6,12,10,17,81.0,11.571428571428571,331.0,11.033333333333333,1.0487698661019975,39.0
2023-02-03,452,0,13,0,0,439,4,5,2,11,6,11,10,82.0,11.714285714285714,334.0,11.133333333333333,1.0521812570752507,37.0
2023-02-04,439,1,12,0,0,426,5,5,2,13,11,19,12,84.0,12.0,337.0,11.233333333333333,1.0682491630638729,35.0
2023-02-05,426,0,9,0,0,417,6,5,2,12,13,12,12,77.0,11.0,341.0,11.366666666666667,0.9677418503452918,37.0
2023-02-06,417,0,8,0,0,409,0,6,2,9,12,11,10,74.0,10.571428571428571,335.0,11.166666666666666,0.9466950111701696,38.0
2023-02-07,409,0,9,0,0,400,1,6,2,8,9,12,9,71.0,10.142857142857142,329.0,10.966666666666667,0.9248805061984775,39.0
2023-02-08,400,0,16,0,0,384,2,6,2,9,8,6,13,68.0,9.714285714285714,330.0,11.0,0.8831168028335374,39.0
2023-02-09,384,0,7,0,0,377,3,6,2,16,9,11,10,78.0,11.142857142857142,334.0,11.133333333333333,1.0008553420959703,33.0
2023-02-10,377,0,14,0,0,363,4,6,2,7,16,13,11,74.0,10.571428571428571,331.0,11.033333333333333,0.9581354332289854,34.0
2023-02-11,363,0,9,0,0,354,5,6,2,14,7,12,19,75.0,10.714285714285714,335.0,11.166666666666666,0.9594881869967935,33.0
2023-02-12,354,0,7,0,0,347,6,6,2,9,14,9,12,72.0,10.285714285714286,337.0,11.233333333333333,0.915642139769034,33.0
2023-02-13,347,0,11,0,0,336,0,7,2,7,9,8,11,70.0,10.0,333.0,11.1,0.900900819738665,33.0
2023-02-14,336,0,12,0,0,324,1,7,2,11,7,9,12,73.0,10.428571428571429,334.0,11.133333333333333,0.9366979483718696,31.0
2023-02-15,324,0,9,0,0,315,2,7,2,12,11,16,6,76.0,10.857142857142858,334.0,11.133333333333333,0.9751923846063301,29.0
2023-02-16,315,0,10,0,0,305,3,7,2,9,12,7,11,69.0,9.857142857142858,337.0,11.233333333333333,0.8774903839453242,30.0
2023-02-17,305,0,14,0,0,291,4,7,2,10,9,14,13,72.0,10.285714285714286,330.0,11.0,0.9350648500590397,28.0
2023-02-18,291,0,12,0,0,279,5,7,2,14,10,9,12,72.0,10.285714285714286,335.0,11.166666666666666,0.9211086595169219,27.0
2023-02-19,279,0,15,0,0,264,6,7,2,12,14,7,9,75.0,10.714285714285714,330.0,11.0,0.9740258854781663,24.0
2023-02-20,264,0,11,0,0,253,0,8,2,15,12,11,8,83.0,11.857142857142858,335.0,11.166666666666666,1.061833593609785,21.0
2023-02-21,253,0,15,0,0,238,1,8,2,11,15,12,9,83.0,11.857142857142858,334.0,11.133333333333333,1.065012735820071,20.0
