dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
B012,0.25606738866823686,0.32699192845596653,0.8547008547008548,3,38.15975350751286,351,351,14,l2,1.6414576196681852,2.096102105486965,B
B060,0.2882350932719085,0.3596711935548216,1.1396011396011396,4,36.2159103422896,351,351,14,l2,1.9585205055655321,2.443919648513531,B
B070,0.30458018877168513,0.40171922589556425,0.5698005698005698,2,48.993817683594564,351,351,14,l2,2.0209893437300703,2.6655386812272623,B
B080,0.3313761649794264,0.4269364631746717,1.1396011396011396,4,42.36861763844763,351,351,14,l2,2.0260206554012794,2.610272507045144,B
B009,0.2694409691830995,0.34813382754199035,0.5698005698005698,2,35.60713587381068,351,351,14,l2,2.0618759066262258,2.6640668398227523,B
B082,0.26673517765852545,0.3303273387491129,1.1396011396011396,4,31.733266848859827,351,351,14,l2,2.0806863715927144,2.5767414629489207,B
B049,0.34371372384861476,0.4233314422401836,0.8547008547008548,3,52.5606710325107,351,351,14,l2,2.175874342996074,2.6798930617028147,B
B020,0.2894987044078177,0.3525709939031646,0.5698005698005698,2,37.32322720447975,351,351,14,l2,2.181550065979139,2.6568384013500577,B
B079,0.22881651577996476,0.28893972015368125,0.8547008547008548,3,29.116719125996955,351,351,14,l2,2.2288423574122493,2.814486903719191,B
B058,0.1975203064707667,0.24601151360099943,0.8547008547008548,3,22.384784319267553,351,351,14,l2,2.2363125296718716,2.7853269374654466,B
B084,0.27931688200918975,0.3484258977550944,0.8547008547008548,3,41.28200701724362,351,351,14,l2,2.25283787170375,2.81023850867428,B
B065,0.3118872791213127,0.38125852079966344,0.8547008547008548,3,36.822792821585374,351,351,14,l2,2.2809534059954695,2.788292372913778,B
B002,0.3327650569354741,0.4131691412651898,0.5698005698005698,2,59.94363659235298,350,351,14,l2,2.2990178435000703,2.8545161469176215,B
B077,0.343184088408692,0.4102110770134774,0.5698005698005698,2,49.26446483143176,351,351,14,l2,2.329936417885792,2.7849942920886517,B
B037,0.3711880406703156,0.4672320939615455,1.1396011396011396,4,55.17736772647787,351,351,14,l2,2.3381674014873726,2.943162848287684,B
B021,0.3245872232320766,0.4106219748955649,0.5698005698005698,2,38.22306509186206,351,351,14,l2,2.3618113052271332,2.9878305523739965,B
B061,0.28404784249744697,0.34266672279405763,0.8547008547008548,3,34.298971134738956,351,351,14,l2,2.4164297940096198,2.9151077899232365,B
B030,0.3137973666579736,0.4039418279759321,1.1396011396011396,4,35.09649751173639,351,351,14,l2,2.4227659932852093,3.118753144771442,B
B092,0.4061878745196127,0.4822400025154754,0.5698005698005698,2,57.42942791964274,348,351,14,l2,2.432498325470729,2.887944402528573,B
B088,0.3907437854738422,0.46656466697091603,1.1396011396011396,4,66.78420282142802,350,351,14,l2,2.458012188963657,2.934970896500805,B
B017,0.24912562528678664,0.3015688517936173,0.5698005698005698,2,28.781591175045246,351,351,14,l2,2.4614463489873963,2.9796033561830906,B
B010,0.24930327728440305,0.3207101878134409,0.8547008547008548,3,25.54268248307125,351,351,14,l2,2.5058175562945126,3.223548554432534,B
B075,0.35894909467583896,0.43602668105429204,0.8547008547008548,3,51.82611915387392,346,351,14,l2,2.5484363074991188,3.095665211359817,B
B045,0.250729705728091,0.3386764105848005,1.1396011396011396,4,23.111812225937104,351,351,14,l2,2.57730136258391,3.4813233315953283,B
B096,0.32879764178962767,0.3958062070680641,1.1396011396011396,4,49.795673944381406,351,351,14,l2,2.5901010813342467,3.117960577046146,B
B071,0.2706845197089868,0.34102460942119805,1.1396011396011396,4,34.791674339050495,351,351,14,l2,2.6150746619178755,3.2946280642372727,B
B086,0.3612598217034081,0.4281607825210971,0.8547008547008548,3,53.79781514193381,351,351,14,l2,2.617332554392498,3.102030968521795,B
B046,0.3061973627605255,0.38636079753864727,0.8547008547008548,3,37.52163679674962,351,351,14,l2,2.7208819784902536,3.4332174573306005,B
B018,0.3404577094537323,0.43270145848014396,1.1396011396011396,4,46.8948115531865,351,351,14,l2,2.725601605598256,3.464077203217107,B
B043,0.33027935171104633,0.40580086349977124,0.5698005698005698,2,46.218631593009206,351,351,14,l2,2.7607966322513104,3.392079012844242,B
B056,0.2699642996193566,0.34057352445411004,0.5698005698005698,2,31.588632791008553,351,351,14,l2,2.8711587762936133,3.622111016487729,B
B039,0.3696484074690175,0.45178505842812144,1.1396011396011396,4,49.9794686598333,351,351,14,l2,2.916115214477805,3.564082127599625,B
B034,0.3446120170345066,0.44125079888101465,0.8547008547008548,3,34.979512413367786,351,351,14,l2,2.9355838488124637,3.758803101579014,B
B011,0.3470895986585569,0.41213802218183954,0.8547008547008548,3,40.213735848812654,351,351,14,l2,3.035797914193076,3.604739966091873,B
B053,0.15644096468685761,0.19194612704839123,0.8547008547008548,3,15.964142373642387,351,351,14,l2,3.630232642092465,4.454134486635745,B
B057,0.23006767431908115,0.29339102619380203,1.1396011396011396,4,26.92674846569043,351,351,14,l2,3.692225667918473,4.708466240882299,B
B059,0.16800525064260005,0.2015628830755679,0.8547008547008548,3,18.67475462411771,351,351,14,l2,4.0618021565615505,4.873112893958033,B
B091,0.18936485494247252,0.23420054196504705,1.4245014245014245,5,21.03746400433788,351,351,14,l2,4.141209762217718,5.121718974711399,B
B006,0.29810769758685696,0.3541437130571217,0.8547008547008548,3,35.833067828005596,351,351,14,l2,4.316191792411416,5.127516665972344,B
B036,0.251882595578986,0.29780577764052113,1.4245014245014245,5,30.4978017575264,351,351,14,l2,4.4075866155160455,5.2111768839546455,B
B025,0.200751333396593,0.2476202836643418,1.1396011396011396,4,23.160784413777275,351,351,14,l2,4.447414155247599,5.485741668871572,B
B076,0.25100562560136375,0.314444391077873,1.1396011396011396,4,27.71454588142181,351,351,14,l2,4.576025635963323,5.732563129650453,B
B098,0.2903920280398101,0.3507956506886696,1.4245014245014245,5,39.88802927326212,351,351,14,l2,4.710804010423586,5.69068500006064,B
B078,0.19774911389361577,0.24013285047698882,1.4245014245014245,5,22.05863464071497,351,351,14,l2,4.819782533788841,5.852810643392135,B
B066,0.23127291483821527,0.28418296075199634,1.4245014245014245,5,29.249488398715894,351,351,14,l2,4.885063790913185,6.002656612579205,B
B062,0.25139365709386857,0.3108855037528011,0.8547008547008548,3,33.46441857170249,351,351,14,l2,4.95481857485864,6.1273672790936695,B
B001,0.28539418574177366,0.3520532911135966,0.8547008547008548,3,36.17483481888462,351,351,14,l2,5.171245074979146,6.379085274878845,B
B047,0.197057719154361,0.25183864896240493,0.8547008547008548,3,23.33121586271912,351,351,14,l2,5.196485038440927,6.641078446712307,B
B003,0.2417247889455675,0.32933814786539006,1.1396011396011396,4,23.353545595910795,351,351,14,l2,5.222219585681591,7.115017593342601,B
B069,0.2215421542713725,0.27501274365952233,1.4245014245014245,5,24.27514024410789,351,351,14,l2,5.428098366762973,6.738203975703396,B
B044,0.3345324707110809,0.41852797136787845,0.8547008547008548,3,43.85281112610255,350,351,14,l2,5.438297087969879,6.803762406339357,B
B094,0.28518998250443606,0.37376278843582605,1.1396011396011396,4,28.36027992378036,351,351,14,l2,5.451922457563435,7.145151881493996,B
B100,0.2782391666976719,0.3468337940054054,0.8547008547008548,3,31.089170666223975,351,351,14,l2,5.487891028626731,6.840827224784677,B
B055,0.34395007503279895,0.43112922854480096,0.8547008547008548,3,60.39411989516429,351,351,14,l2,5.561996085145775,6.9717649607415675,B
B074,0.27149437994506126,0.3310496897130257,1.4245014245014245,5,35.71278209292371,351,351,14,l2,5.571435950838394,6.793592350435682,B
B050,0.35644022916762913,0.45350146801033275,0.8547008547008548,3,68.28120315263651,350,351,14,l2,5.635005218379413,7.1694576808813,B
B063,0.3125146975898017,0.36897381123355905,1.4245014245014245,5,42.98237987793398,351,351,14,l2,5.655536635585244,6.677269655144066,B
B035,0.2910436084057081,0.3571502986117263,0.8547008547008548,3,40.69796591321348,351,351,14,l2,5.670789851528882,6.958834450728195,B
B068,0.27170887160102286,0.35032735002633797,1.4245014245014245,5,27.854806917656166,351,351,14,l2,5.852965179986706,7.5465102380317415,B
B013,0.33005221286322517,0.41556450671685663,0.8547008547008548,3,57.57051119447502,351,351,14,l2,6.032150841930454,7.595003733870756,B
B032,0.36913403850958537,0.44374016757968193,0.8547008547008548,3,42.43864787486246,351,351,14,l2,6.209023827238155,7.463937177750548,B
B052,0.3374860329435752,0.39774084086479483,0.8547008547008548,3,43.69457067640488,351,351,14,l2,6.23435737209727,7.347440490505213,B
B067,0.2858874479823523,0.3553519242907227,0.8547008547008548,3,34.83485107000162,351,351,14,l2,6.234952747307427,7.749911625200804,B
B072,0.27030295330068016,0.33441106743720256,1.1396011396011396,4,26.172278659226745,351,351,14,l2,6.516534446810129,8.062069665679795,B
B016,0.2504150413270077,0.3161209576451313,0.8547008547008548,3,29.653472248706564,351,351,14,l2,6.580707524787234,8.307406590651542,B
B031,0.2979076592638011,0.36189120371386646,1.4245014245014245,5,32.827596047648825,351,351,14,l2,6.870548438007037,8.346180324967946,B
B099,0.30628024518726543,0.3676979452674297,1.1396011396011396,4,35.62724955031798,351,351,14,l2,7.754736578288398,9.309776750973356,B
B027,0.29077139440623817,0.3571037480963238,1.9943019943019942,7,39.89603391861999,351,351,14,l2,8.362784121170867,10.270547968753243,B
B007,0.22251843289436438,0.2854068676108373,1.9943019943019942,7,25.42563856012825,351,351,14,l2,8.559669176466404,10.97881346575933,B
B041,0.21720990684719593,0.27256800604289666,1.4245014245014245,5,23.88104060537552,351,351,14,l2,8.700154075113185,10.917474635205368,B
A004,0.03369476228760548,0.044592618998817724,1.1396011396011396,4,3.3926075516257073,351,351,14,l2,9.183598658136939,12.153839000401414,A
C051,0.039443688368739696,0.04986127545859218,1.1396011396011396,4,4.021395511048861,351,351,14,l2,9.202853034956036,11.633445277509823,C
A094,0.03443266449303118,0.04272395374708363,0.8547008547008548,3,3.6202824758328154,351,351,14,l2,9.36588093962296,11.621158860538639,A
B083,0.30038916904052626,0.36335807308253953,1.1396011396011396,4,39.54043550187022,351,351,14,l2,9.408770724876199,11.381078790511225,B
A020,0.0346432054301866,0.04586968139478946,0.5698005698005698,2,3.445254879867766,351,351,14,l2,9.52155176938898,12.607105509506365,A
B097,0.2296857394328551,0.2791980147912283,1.1396011396011396,4,26.5353444855671,351,351,14,l2,9.633059174333503,11.709612466500488,B
