dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
D072,0.039154602640201326,0.04888725678399543,0.8547008547008548,3,3.9308737618811707,351,351,14,l2,8.267868045252996,10.323010857719058,D
D036,0.048738821277158444,0.05901346293038873,1.1396011396011396,4,4.885157038621882,351,351,14,l2,10.260979877768946,12.424099306849017,D
D085,0.04880115864851118,0.05972442953291732,0.5698005698005698,2,4.829689863787064,351,351,14,l2,10.431490971739308,12.766394584033392,D
D081,0.05476531660893695,0.07198218869549099,0.8547008547008548,3,5.521318165935701,351,351,14,l2,11.392902146632386,14.974551100729506,D
D071,0.05724101860068763,0.06954855415579946,0.8547008547008548,3,5.93225969495526,351,351,14,l2,11.59383400392788,14.086653448997865,D
D062,0.07117265450410665,0.08960443952204228,0.5698005698005698,2,7.087125161918219,351,351,14,l2,14.605196463309953,18.387545783172822,D
D032,0.06772573932642112,0.0809853747601727,1.1396011396011396,4,6.746725904022137,351,351,14,l2,14.675839695634162,17.54913847367161,D
D011,0.06215288009374515,0.07554540485752023,0.5698005698005698,2,6.348972861116478,351,351,14,l2,14.688443181356849,17.85346688984661,D
D040,0.08004102354714736,0.10995906763377783,1.1396011396011396,4,8.039693838904768,351,351,14,l2,19.08305702142302,26.215996056595625,D
D029,0.12852953137037124,0.17143564827326382,1.1396011396011396,4,12.637307575880632,351,351,14,l2,33.03318810518857,44.06042686817985,D
D095,0.058116004730910525,0.0796893894840154,0.8547008547008548,3,5.553964164350052,351,351,14,l2,33.41322569434948,45.81663121205767,D
D083,0.06250237990018401,0.0803749447947996,0.8547008547008548,3,6.742036532259004,351,351,14,l2,37.396010820734595,48.08940571642813,D
D088,,,0.5698005698005698,2,,0,351,14,l2,38.17648844758446,38.47252484497514,D
D092,0.26900377288364874,0.32275954586683375,0.8547008547008548,3,31.665773559827166,351,351,14,l2,44.18789325684483,53.01808300867246,D
D014,,,0.8547008547008548,3,,0,351,14,l2,45.49575848729436,46.33354470364582,D
D031,0.10509642938927519,0.12776179675443602,0.5698005698005698,2,9.977514445339555,351,351,14,l2,48.34465693909334,58.770790500763525,D
D096,0.03989232342060291,0.050098264843847724,1.9943019943019942,7,3.996285752585434,351,351,14,l2,54.232420330207326,68.10709238916864,D
D035,0.04755661788903663,0.05800574068794674,1.7094017094017095,6,4.876836001694118,351,351,14,l2,60.972461735579735,74.36930886868495,D
D038,0.5845806491620076,0.6385181294892457,0.8547008547008548,3,74.1786802119975,351,351,14,l2,62.09712109403263,67.82663378349437,D
D002,,,1.1396011396011396,4,,0,351,14,l2,64.64981653439192,67.1576060109883,D
D028,,,1.1396011396011396,4,,0,351,14,l2,66.76070626659752,68.78278132453394,D
D023,543.4044828818502,557.593797458082,1.1396011396011396,4,4119.019799123411,13,351,14,l2,74.31172415478294,76.25214324213088,D
D047,0.05803727569261424,0.07630644864695263,1.1396011396011396,4,5.612680548128183,351,351,14,l2,76.38333804930461,100.42754751639417,D
D012,0.072229089682256,0.09785394586411716,0.8547008547008548,3,6.7906612798396715,351,351,14,l2,79.27214615936397,107.39568133746553,D
D024,0.06128984940368813,0.07628758634191128,1.1396011396011396,4,6.055675664218616,351,351,14,l2,84.00760435274407,104.56441699221139,D
D073,23.740728296231186,23.995244842669678,1.1396011396011396,4,912.6295083086297,70,351,14,l2,85.49367682745361,86.41022644197855,D
D016,,,1.1396011396011396,4,,0,351,14,l2,91.23490409839286,94.67983587084706,D
D017,2.672976625595317,2.7785410596562254,0.5698005698005698,2,615.3346748817227,251,351,14,l2,93.05918622442957,96.73439244729082,D
D100,0.16252895368063017,0.17456194292482188,0.8547008547008548,3,16.034148357160504,351,351,14,l2,95.72029280884954,102.80703783326568,D
D079,1.6030807312308264,1.650724402994912,1.1396011396011396,4,645.4406539656785,351,351,14,l2,96.13917205814501,98.9964349944242,D
D099,3.554351565473995,3.593884849663534,0.8547008547008548,3,582.0009170128521,230,351,14,l2,107.4305292253949,108.6254255557847,D
D018,,,0.8547008547008548,3,,0,351,14,l2,108.65549699746983,118.11343548163234,D
D074,0.18444062676198916,0.19318066082577592,0.5698005698005698,2,18.264626015428735,351,351,14,l2,114.41571974509617,119.83750401009578,D
D069,0.08417269370028581,0.10619108594270155,0.8547008547008548,3,8.091394969522284,351,351,14,l2,118.06407342273678,148.9479737006052,D
D058,0.18679658703734947,0.19916482885361847,0.5698005698005698,2,18.269574702413706,351,351,14,l2,123.7774854686464,131.9730841996866,D
D086,0.20923219535387433,0.21622279577848094,0.5698005698005698,2,20.692181346636765,351,351,14,l2,124.51401984477855,128.6741241658379,D
D022,0.09576503013977207,0.11785350996347957,1.1396011396011396,4,9.165283428752065,351,351,14,l2,128.9622097473412,158.70771459255758,D
D061,0.17753702817831438,0.20844085301159726,0.8547008547008548,3,20.568176131154665,351,351,14,l2,130.16246084715402,152.81980692962512,D
D090,0.04760492378088004,0.06234432803679702,1.4245014245014245,5,4.72567468410875,351,351,14,l2,131.05784706096102,171.63588889615235,D
D046,0.6346890718266094,0.637529935518942,1.1396011396011396,4,63.97192813947804,351,351,14,l2,135.3786365513236,135.98459034880955,D
D087,0.21375415351765464,0.22264433681726772,1.1396011396011396,4,21.100404429221996,351,351,14,l2,135.5280501506937,141.16475562869653,D
D082,0.7308684523371022,0.7349511962370991,0.8547008547008548,3,73.7769555014109,351,351,14,l2,146.93995710690777,147.76078637054022,D
D020,0.22649859769872807,0.25492716368526097,0.8547008547008548,3,25.604301612697583,351,351,14,l2,158.65355620343215,178.56667327061433,D
D060,0.23051352480804527,0.23881772819866315,0.5698005698005698,2,22.748772497973757,351,351,14,l2,163.04792967982397,168.92169856869032,D
D063,0.33334128242348665,0.34319987406475905,0.8547008547008548,3,32.89841196044658,351,351,14,l2,172.94524478146405,178.0601124396327,D
D054,0.22997786015776792,0.2408271289548229,0.5698005698005698,2,22.661933275237285,351,351,14,l2,182.25974740155687,190.85790110681492,D
D030,0.07075140033430356,0.08501804776724725,1.4245014245014245,5,6.837736535026062,351,351,14,l2,185.11710834135337,222.44499875812647,D
D004,56.6501068378667,57.37449715931942,0.8547008547008548,3,1992.6500565106248,45,351,14,l2,193.1913899855454,195.66174672280724,D
D034,40.120495722985474,40.73218535531416,0.8547008547008548,3,2510.0319292153895,58,351,14,l2,196.25894916343606,199.2511745158815,D
D027,0.2473864807539271,0.25274027042507463,0.8547008547008548,3,24.53740255549759,351,351,14,l2,198.37012693480284,202.6631341088859,D
D053,0.2512344048112477,0.2592018299745679,1.1396011396011396,4,24.814346286912873,351,351,14,l2,202.5357290273649,208.9587675643694,D
D041,0.3844395652054473,0.3943936357493544,0.5698005698005698,2,37.95511736480771,351,351,14,l2,216.7384837613822,222.35036753246936,D
D057,25.941953576611777,26.268217797293605,0.8547008547008548,3,1862.387086259481,76,351,14,l2,218.54802486051577,221.29663825241366,D
D044,,,1.7094017094017095,6,,0,351,14,l2,228.59856043798445,245.96865556439232,D
D068,1.3997411520312788,1.450457337345038,1.4245014245014245,5,247.5419444383219,351,351,14,l2,229.9363962534801,238.2675772477993,D
D006,42.8229082704202,44.61092836695987,0.8547008547008548,3,2351.396958102412,62,351,14,l2,236.1970097194687,246.05913765935702,D
D067,1.5472741213192056,1.5820538081913942,0.8547008547008548,3,280.0675919819885,351,351,14,l2,240.28594039597888,245.68709695357467,D
D064,0.3838689807834448,0.4338721343331264,1.1396011396011396,4,45.19782874619978,351,351,14,l2,240.29651375133693,271.597775577803,D
D091,0.16458225408953361,0.17153322001330032,1.1396011396011396,4,16.292768669309822,351,351,14,l2,241.33432082786263,251.52683307403277,D
D093,1.5290211626028798,1.5631235374805323,1.1396011396011396,4,268.60363727909015,351,351,14,l2,242.46529319224015,247.87309429107248,D
D001,10.727472846071484,10.830453751718771,1.1396011396011396,4,1520.4402455616485,126,351,14,l2,246.02893564351982,248.39074843685503,D
D013,3.2910818758951113,3.36412200950234,1.1396011396011396,4,802.6834742166399,236,351,14,l2,247.94692058737982,253.44969350222186,D
D037,0.190493304370419,0.19809206212312297,1.1396011396011396,4,18.891319181298876,351,351,14,l2,257.76186303168595,268.0439564708063,D
D025,0.18394806468793334,0.24089710137356987,1.7094017094017095,6,18.01677517367442,351,351,14,l2,258.9836770923596,339.1632155546706,D
D008,0.44543530299372885,0.47115173301919366,0.8547008547008548,3,48.02664458757263,351,351,14,l2,261.74082975058855,276.85197987238945,D
D084,0.20250263277784045,0.21348313636391142,1.1396011396011396,4,20.02098334770147,351,351,14,l2,282.62617448027265,297.9512973185657,D
D077,0.6166031953610067,0.6322586249065065,0.8547008547008548,3,64.70149380153933,351,351,14,l2,325.8633701706002,334.1369747700349,D
D075,0.22232231397798263,0.2351023680447896,0.8547008547008548,3,21.91983612383676,351,351,14,l2,338.8546767291771,358.3335181099759,D
D094,0.21370879173761828,0.2193161075304013,1.1396011396011396,4,21.19256706806862,351,351,14,l2,354.85462025444565,364.1653364871111,D
D015,,,1.1396011396011396,4,,0,351,14,l2,362.0879421445925,377.4764343895782,D
D026,,,1.9943019943019942,7,,0,351,14,l2,370.95262615512047,383.45813608066794,D
D010,0.11295780610954259,0.1380007653058708,1.9943019943019942,7,10.699577379165843,351,351,14,l2,371.96555007916385,454.43101584820323,D
D070,0.25254634332977677,0.2879663803275141,1.4245014245014245,5,29.164579184136315,351,351,14,l2,400.28163714618626,456.421790316882,D
D003,0.33548176408903696,0.36285423093458286,1.1396011396011396,4,31.93915719742113,351,351,14,l2,416.4857953947634,450.46750422785016,D
D066,0.5210537925914285,0.5443145428984473,1.7094017094017095,6,57.897285318548,351,351,14,l2,423.76369726704945,442.6812479911013,D
D043,0.23724153801856462,0.24476397393419458,0.8547008547008548,3,23.467988714084427,351,351,14,l2,433.26252778185807,447.0003817306376,D
D056,0.24097009052545573,0.24983482687415398,1.4245014245014245,5,23.767336493004624,351,351,14,l2,440.55991835455296,456.7671061989073,D
D089,0.23647239466480402,0.24572495645137493,1.1396011396011396,4,23.33780017445445,351,351,14,l2,450.32495841544625,467.945025686639,D
D076,176.98229582479937,181.52469236237653,1.1396011396011396,4,6740.724880789447,31,351,14,l2,469.43167354099205,481.4800244711469,D
D021,21.24317241472598,21.53153605249779,1.7094017094017095,6,2541.725831251913,81,351,14,l2,472.5546729748731,478.9693262048511,D
D055,0.3459431784583805,0.36090139098490626,1.4245014245014245,5,34.0059499542659,351,351,14,l2,485.24395057738946,506.22537929725297,D
D065,3.438915478578432,3.4950359039642342,1.1396011396011396,4,1161.6358505966236,232,351,14,l2,563.5118594470573,572.7079346222419,D
D052,1.8220476911794787,1.8794308884119606,1.7094017094017095,6,1333.4650914677159,344,351,14,l2,570.3787926251247,588.3421856322775,D
D097,10.795425713583803,10.911431719467648,1.7094017094017095,6,2301.7847144509815,131,351,14,l2,596.1781539376309,602.5845938751023,D
D048,0.45142345038846826,0.45595704462744857,1.1396011396011396,4,45.81382294933793,351,351,14,l2,607.0950910108916,613.1920777862833,D
D080,0.21210544726208255,0.22230346247781596,1.9943019943019942,7,20.86122484932763,351,351,14,l2,625.2113224006771,655.2714394848587,D
D039,2.31143622158294,2.33747408013197,1.9943019943019942,7,1172.5195099034038,316,351,14,l2,632.9515779876521,640.0816486779613,D
D098,0.1894428186659139,0.1965239916912773,1.9943019943019942,7,18.74894519915223,351,351,14,l2,654.7186990944392,679.1913944643521,D
D019,0.5434981489833616,0.546149418736132,1.9943019943019942,7,54.82070531292108,351,351,14,l2,694.8987715279375,698.2885974135188,D
D009,0.26583046246026487,0.3090107665941833,1.4245014245014245,5,24.888512571984762,351,351,14,l2,697.0604871929575,810.2878560887565,D
D051,0.22979146585915114,0.2400080429848156,1.9943019943019942,7,22.67269119985786,351,351,14,l2,820.6252598520242,857.1104322982696,D
D045,0.20308010470351606,0.2143171551182981,1.9943019943019942,7,19.952688813191116,351,351,14,l2,829.6117350795038,875.5167187577094,D
D049,0.2289733943216502,0.23466136900799942,1.1396011396011396,4,22.704801920350835,351,351,14,l2,864.7594476173628,886.2411130414221,D
D007,0.22322042049086083,0.23022591196153364,1.9943019943019942,7,22.063633006317275,351,351,14,l2,874.6978030942263,902.1490908640372,D
D033,0.23024876347279183,0.24312791026674932,1.7094017094017095,6,22.637239821638726,351,351,14,l2,942.2015553884562,994.904345007463,D
D078,0.3355538033422247,0.3892953872027038,1.7094017094017095,6,30.778783213959855,351,351,14,l2,953.6343491611854,1106.3663993934117,D
D005,0.22970120408938238,0.23502508802605676,1.7094017094017095,6,22.835065588344012,351,351,14,l2,1050.4753054321504,1074.8226249276422,D
D042,0.2546347371805259,0.2631722196608766,1.7094017094017095,6,25.166760372600784,351,351,14,l2,1151.073064876655,1189.6666449741767,D
D059,0.3868752319587873,0.3970589841272939,1.9943019943019942,7,38.172741695150826,351,351,14,l2,1225.3661246500465,1257.6215493923798,D
D050,0.4019041234705056,0.4158288208331367,1.4245014245014245,5,39.37738111766719,351,351,14,l2,1298.00146543067,1342.973080616649,D
