dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B046,0.2743746721405794,0.35473956704085163,0.8547008547008548,3,45.766253225397065,349,351,14,l2,1.7330160915545998,2.2406200003691397,348.0,68.77470355731225,0,0.0,351,B
B039,0.23757089686608013,0.2962317440052767,1.1396011396011396,4,32.27247963324757,351,351,14,l2,1.8667251668280598,2.3276556979104077,370.0,65.48672566371681,0,0.0,351,B
B018,0.3677455056794818,0.43856492472874864,0.8547008547008548,3,56.40589317191045,351,351,14,l2,2.0346489231611216,2.426476022288404,359.0,72.37903225806451,0,0.0,351,B
B043,0.28371245874873635,0.3618063790278671,1.1396011396011396,4,40.50525152309887,351,351,14,l2,2.0401431506604286,2.601707409305802,373.0,67.45027124773961,0,0.0,351,B
B075,0.32002684593469843,0.40901968675123224,0.8547008547008548,3,41.25709065411808,345,351,14,l2,2.1380710932104496,2.732624402939144,454.0,73.10789049919485,0,0.0,351,B
B020,0.3553695725382737,0.44154163110006206,0.5698005698005698,2,57.486821950488356,350,351,14,l2,2.243586816936794,2.7876246567456913,557.0,78.01120448179272,0,0.0,351,B
B096,0.262842368770414,0.35792005052092224,1.1396011396011396,4,36.57407884749973,351,351,14,l2,2.244269456424304,3.056086585217105,506.0,70.86834733893558,0,0.0,351,B
B058,0.3359137980051444,0.41621289497796077,0.8547008547008548,3,37.61665394500865,345,351,14,l2,2.2623937848551607,2.8032116345524196,452.0,72.78582930756843,0,0.0,351,B
B086,0.27528182053969413,0.33029773329651013,0.8547008547008548,3,34.07118911517543,351,351,14,l2,2.2657811382882516,2.718604420209737,660.0,76.12456747404845,0,0.0,351,B
B092,0.31243509652101725,0.37627559247136366,0.8547008547008548,3,37.88699659166124,347,351,14,l2,2.2831795514997415,2.7497062526753497,554.0,74.56258411843876,0,0.0,351,B
B065,0.3924225084949307,0.48178529570081385,0.8547008547008548,3,54.04873265089595,347,351,14,l2,2.293044344510265,2.815218351801622,338.0,69.69072164948453,0,0.0,351,B
B079,0.31268354516782965,0.3946312971563559,0.8547008547008548,3,41.18555428286032,351,351,14,l2,2.2983576824302006,2.9007086799527015,430.0,69.91869918699187,0,0.0,351,B
B080,0.36263253550440844,0.46003750183974934,0.5698005698005698,2,45.28024315376519,351,351,14,l2,2.3545286279616717,2.9869671415748966,459.0,73.5576923076923,0,0.0,351,B
B082,0.32176408519187727,0.4149574292909813,0.8547008547008548,3,40.055068302878205,351,351,14,l2,2.3687703593612843,3.054843297116512,423.0,69.23076923076923,0,0.0,351,B
B021,0.2917155884883137,0.3681743292486041,0.8547008547008548,3,35.020732420321444,351,351,14,l2,2.369461945242685,2.9904986116460694,585.0,74.71264367816092,0,0.0,351,B
B056,0.29542637393929244,0.36489763896405275,0.5698005698005698,2,37.130394181873456,351,351,14,l2,2.38445275603993,2.945170972037497,560.0,73.10704960835508,0,0.0,351,B
B045,0.24435585894920672,0.29787748441413753,0.8547008547008548,3,31.58185390820779,351,351,14,l2,2.3941304812715725,2.918520424217148,763.0,75.54455445544555,0,0.0,351,B
B088,0.2633770506392656,0.3247400286364165,0.5698005698005698,2,30.819306028563442,351,351,14,l2,2.401158296426353,2.9605928536653354,872.0,79.41712204007287,0,0.0,351,B
