dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
A001,0.030364684053241515,0.03815473933961631,1.1396011396011396,4,3.0575883224227516,97.23949798284929,1477525.0,0,0.0
A002,0.03632531410307698,0.044374440835649974,1.1396011396011396,4,3.6092030433955298,97.25965266596187,1477485.0,0,0.0
A003,0.05686670615469145,0.07249784031217775,0.5698005698005698,2,5.540747322536311,97.75682960016748,298870.0,0,0.0
A004,0.033555864740470405,0.04443051107907559,1.1396011396011396,4,3.3930413367905317,97.78402240286259,301695.0,0,0.0
A005,0.040050140670406756,0.05054928851768908,1.4245014245014245,5,3.9492572343121735,97.23007341286947,1466142.0,0,0.0
A006,0.04872311506161351,0.059260858444891186,1.1396011396011396,4,4.867925985352954,97.20725467639126,1459286.0,0,0.0
A007,0.03844598603632719,0.0470410100423002,1.7094017094017095,6,3.9160552684098544,97.24111657363646,1472777.0,0,0.0
A008,0.046846722901885456,0.060723066355936786,0.8547008547008548,3,4.570963484181054,97.78122444741521,301350.0,0,0.0
A009,0.04282240286651713,0.05371218493117786,1.4245014245014245,5,4.548980225215061,97.46131570480007,666382.0,0,0.0
A010,0.04612999495301872,0.055247464070169505,1.7094017094017095,6,4.604634889752645,97.1912585592176,1474751.0,0,0.0
A011,0.03983152207215252,0.050795040579615855,1.4245014245014245,5,3.9729801299351073,97.42261411064442,658950.0,0,0.0
A012,0.043495337459143746,0.05318834183566409,1.1396011396011396,4,4.434808155577747,97.49056475919144,661803.0,0,0.0
A013,0.050558316761674396,0.06410295017852465,1.7094017094017095,6,4.813160303875065,97.2162113813597,1467294.0,0,0.0
A014,0.037720515405075886,0.04915254848746856,0.8547008547008548,3,3.7357135269521398,97.44762412213515,658400.0,0,0.0
A015,0.03732549564433755,0.050481043510287836,1.1396011396011396,4,3.769047052986177,97.81662662620244,300075.0,0,0.0
A016,0.039075945241243505,0.048170509587956246,1.4245014245014245,5,3.9045763780501384,97.43105654074417,657987.0,0,0.0
A017,0.04759743685213434,0.056602336659157204,0.8547008547008548,3,4.95847324104133,97.40857616928757,663969.0,0,0.0
A018,0.04972596703287326,0.060928627500903956,1.1396011396011396,4,4.837028682382375,97.75024368543971,298844.0,0,0.0
A019,0.04366193937516722,0.054688259279987855,1.4245014245014245,5,4.320520986404368,97.23630956418575,1462156.0,0,0.0
A020,0.057784445019239856,0.06828044258805487,0.5698005698005698,2,5.665315456465327,97.76305561789165,300595.0,0,0.0
A021,0.05320019616637713,0.061968696132745776,0.5698005698005698,2,5.290577179454459,97.77142523773409,301662.0,0,0.0
A022,0.043769505283516155,0.05455349259668026,1.9943019943019942,7,4.2541142028454,97.20954103585238,1481174.0,0,0.0
A023,0.03718664470720694,0.046637508828143694,1.9943019943019942,7,3.7429874454695105,97.27311419397576,1478706.0,0,0.0
A024,0.03762433438900639,0.050486344659951506,1.9943019943019942,7,3.61134370302649,97.18225283662912,1456554.0,0,0.0
A025,0.051361630858620805,0.062284136558739434,1.9943019943019942,7,5.143704185096736,97.20595842348051,1461999.0,0,0.0
A026,0.037479790878297774,0.05127956041263802,1.4245014245014245,5,3.8974432432912978,97.47853732372553,667186.0,0,0.0
A027,0.04090131009245399,0.05119270450760462,1.9943019943019942,7,4.103881073308174,97.19921420304647,1457128.0,0,0.0
A028,0.046666616435944386,0.05726766110873221,0.5698005698005698,2,4.6650899489938045,97.77275190390125,301319.0,0,0.0
A029,0.036392851065605546,0.05002441597471383,0.8547008547008548,3,3.531905367646907,97.41589534040337,652743.0,0,0.0
A030,0.042860331082837114,0.05220810864989982,1.1396011396011396,4,4.314071528650505,97.43194476958617,661749.0,0,0.0
A031,0.05464296619420627,0.06300537855337122,0.8547008547008548,3,5.4784678839236465,97.78853313477289,302059.0,0,0.0
A032,0.036909506521870465,0.04614136802914543,0.5698005698005698,2,3.7717461526732796,97.79642167925948,298993.0,0,0.0
A033,0.03619886080946648,0.045525565632738185,1.9943019943019942,7,3.5825316552816866,97.20882913835267,1469571.0,0,0.0
A034,0.04911937438377776,0.06416007397559895,0.8547008547008548,3,4.72340014057133,97.7505052480605,299879.0,0,0.0
A035,0.045744617874843525,0.05729502370338078,1.4245014245014245,5,4.466547252699579,97.47361375993556,658290.0,0,0.0
