dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
A001,0.045554698900521634,0.058096416686012356,1.7094017094017095,6,4.4553038575126225,69.20650523396982,94343.0,0,0.0
A002,0.04636859827028574,0.05622090791043773,1.9943019943019942,7,4.635518446715983,68.31988717357677,90103.0,0,0.0
A003,0.036793557767259656,0.04657562292832308,1.1396011396011396,4,3.7477659987069414,74.74219155723718,20149.0,0,0.0
A004,0.05269032306870026,0.06249955078325998,0.8547008547008548,3,5.2920287210849155,80.09790730296871,27979.0,0,0.0
A005,0.04257135291812249,0.05214744690720656,1.1396011396011396,4,4.26756638917788,73.6366173597544,118728.0,0,0.0
A006,0.043667992559699303,0.052624395924014314,1.7094017094017095,6,4.473596265444187,69.8309304614672,96484.0,0,0.0
A007,0.03657171175698219,0.0463893702153325,1.1396011396011396,4,3.7599176599651134,74.10041866727325,120531.0,0,0.0
A008,0.041229874856929256,0.05216978633541309,0.5698005698005698,2,4.007527644373029,86.88593395272525,45543.0,0,0.0
A009,0.03827597577413305,0.04905958604129474,0.8547008547008548,3,3.826450301072742,80.40919000503102,71922.0,0,0.0
A010,0.05368840960734,0.06514436543177883,1.4245014245014245,5,5.425197633505901,71.67232500219359,106189.0,0,0.0
A011,0.04504712964535951,0.05749918351056258,1.4245014245014245,5,4.524345955764524,71.76962149762412,43801.0,0,0.0
A012,0.05047647063010715,0.07110860062494785,1.1396011396011396,4,4.763837842957131,74.27662207554954,50416.0,0,0.0
A013,0.04117690117729811,0.05303731771945833,1.7094017094017095,6,3.978821932483132,69.32664931115843,96667.0,0,0.0
A014,0.05583160407115549,0.06956925214440444,0.8547008547008548,3,5.563536750576869,80.50546417177637,71162.0,0,0.0
A015,0.042822206197530605,0.05232533328583724,0.8547008547008548,3,4.3459387037555235,80.70936463383515,28467.0,0,0.0
A016,0.05337725363435709,0.06815153082348199,0.8547008547008548,3,5.581265343396226,81.00596894354187,72199.0,0,0.0
A017,0.04255053557786638,0.05322014355535246,1.1396011396011396,4,4.319362693623943,73.9948061251903,49578.0,0,0.0
A018,0.0400119128141268,0.053242879206614926,0.8547008547008548,3,4.089998825794729,80.62324073810811,28356.0,0,0.0
A019,0.04578397940683548,0.054033206858960986,1.9943019943019942,7,4.582184745568436,67.59317460560811,88178.0,0,0.0
A020,0.05637882049955345,0.06904919316147215,0.8547008547008548,3,5.5003602128876405,80.40398293029872,28262.0,0,0.0
A021,0.051085473300112524,0.06512044422213957,0.8547008547008548,3,4.929546146878852,80.58219754332828,28734.0,0,0.0
A022,0.045221046779079156,0.05569908218473327,1.7094017094017095,6,4.456594596025918,69.676841501863,97241.0,0,0.0
