dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B6,1.1914809025212407,1.4713462056401352,0.0,0,90.13837172252224,266,351,14,l2,1.6259810607056246,2.0079055057026345,67.0,67.0,0,179.23361823361824,351,B
B7,1.1808454249078904,1.6374648294048175,0.0,0,94.51651932854287,242,351,14,l2,1.648473670099334,2.2859195624169817,52.0,60.46511627906976,0,115.34757834757835,351,B
B060,0.3399995968601662,0.42134430852748617,1.1396011396011396,4,49.43622659632151,351,351,14,l2,1.7552115940473536,2.1751449773555698,297.0,69.55503512880561,0,0.0,351,B
B009,0.2450718342008995,0.3099580464504128,0.8547008547008548,3,32.04100532830935,351,351,14,l2,1.7573954606372195,2.222690606597405,512.0,74.20289855072464,0,0.0,351,B
B056,0.28504384178091374,0.34817050477649836,0.8547008547008548,3,38.715872933104635,351,351,14,l2,1.9473935401442481,2.3786691465927152,519.0,75.54585152838428,0,0.0,351,B
B2,0.7910747030015483,1.727960176927328,0.0,0,62.7876529422741,280,351,14,l2,1.9833211927104342,4.332207850985894,112.0,64.73988439306359,0,231.76353276353277,351,B
B012,0.2281474106404514,0.2886829516190034,0.8547008547008548,3,30.499993573455708,351,351,14,l2,2.048776747403712,2.5923893547096832,696.0,75.32467532467533,0,0.0,351,B
B5,0.6998285948733866,1.0391360515641477,0.0,0,74.61895839362212,310,351,14,l2,2.113442480244415,3.1381316656922977,60.0,44.44444444444444,0,132.01709401709402,351,B
B034,0.322767071273352,0.3854908640669231,0.8547008547008548,3,47.78658068225116,351,351,14,l2,2.1563782966837906,2.5754304166294437,454.0,73.10789049919485,0,0.0,351,B
B002,0.32008475486513416,0.4062231451818708,0.8547008547008548,3,33.596307781482956,351,351,14,l2,2.164903726637688,2.7475035517429096,439.0,71.73202614379085,0,0.0,351,B
B071,0.23463542153582306,0.28549141702285696,0.8547008547008548,3,24.148053487281423,351,351,14,l2,2.175892584327932,2.6475058758102548,678.0,74.66960352422907,0,0.0,351,B
B061,0.25333452807543044,0.324805072761067,0.8547008547008548,3,35.550030403911435,351,351,14,l2,2.21866193533867,2.84458915574792,778.0,77.9559118236473,0,0.0,351,B
B020,0.22116891078750064,0.282660007485467,0.8547008547008548,3,25.36858730917444,351,351,14,l2,2.238153763866673,2.860422639852931,731.0,74.36419125127162,0,0.0,351,B
B065,0.3019869563835443,0.3853373890419315,1.1396011396011396,4,47.015309713024145,348,351,14,l2,2.2601701835315406,2.8839923675588435,374.0,66.54804270462633,0,0.0,351,B
B077,0.3945963204809698,0.502121894741983,1.1396011396011396,4,55.640486806297865,346,351,14,l2,2.278765645626569,2.899718178467235,314.0,68.5589519650655,0,0.0,351,B
B030,0.30469276928254324,0.4033473203125461,0.5698005698005698,2,29.98853409827371,351,351,14,l2,2.2847617343351962,3.0245303335117417,499.0,72.52906976744185,0,0.0,351,B
B043,0.252588133081993,0.3361580214222907,0.5698005698005698,2,29.879038982193563,351,351,14,l2,2.336620137086129,3.1097011269463755,1006.0,81.12903225806451,0,0.0,351,B
B086,0.4027876599765135,0.49154269106069304,0.5698005698005698,2,55.12619064802613,346,351,14,l2,2.3409881092652065,2.856829315566421,399.0,73.61623616236163,0,0.0,351,B
B079,0.2571645196960253,0.3140393701303657,1.1396011396011396,4,27.80482382132336,351,351,14,l2,2.4192514075107563,2.954296296781959,650.0,73.52941176470588,0,0.0,351,B
B075,0.25624220142499055,0.3119476264197994,0.8547008547008548,3,31.24500979214523,351,351,14,l2,2.432475826632674,2.9612806017970703,749.0,75.73306370070779,0,0.0,351,B
B017,0.27150845361838766,0.33741564586768297,1.1396011396011396,4,30.91253549498343,351,351,14,l2,2.445123139281263,3.0386634090818974,557.0,70.86513994910942,0,0.0,351,B
B018,0.38453834496244416,0.4690877318499182,0.5698005698005698,2,60.13974247140036,349,351,14,l2,2.495664814314666,3.044392744028814,622.0,79.23566878980893,0,0.0,351,B
B092,0.3627850080563066,0.4615265572995127,0.8547008547008548,3,48.978143288915334,344,351,14,l2,2.504353488662196,3.1859796248909382,395.0,69.66490299823633,0,0.0,351,B
B058,0.26604199267764694,0.34248381924206844,0.5698005698005698,2,36.820355717391365,349,351,14,l2,2.5262619988450066,3.2521326767345133,918.0,79.54939341421144,0,0.0,351,B
B049,0.28069512016184145,0.34067375037287595,1.1396011396011396,4,30.319987536230258,351,351,14,l2,2.5494474161707994,3.094210587432275,498.0,68.78453038674033,0,0.0,351,B
B037,0.314034799383985,0.39247053936459136,1.1396011396011396,4,36.448215163794636,351,351,14,l2,2.5579073830165613,3.1967899488415004,344.0,62.888482632541134,0,0.0,351,B
B021,0.4143633381319223,0.48785474510821963,1.1396011396011396,4,61.189419657906164,350,351,14,l2,2.5593724133048648,3.013302243289516,438.0,73.61344537815127,0,0.0,351,B
B070,0.24637574996940195,0.30294262361143864,0.5698005698005698,2,26.946651963154693,351,351,14,l2,2.57466168344093,3.165793570959422,1010.0,79.52755905511812,0,0.0,351,B
B080,0.4170495877182419,0.5001358534231343,1.1396011396011396,4,74.33588321652759,351,351,14,l2,2.603292440714154,3.1219306405985394,431.0,72.92724196277496,0,0.0,351,B
B039,0.3296556229293422,0.3980794325693605,1.1396011396011396,4,45.409293715476004,351,351,14,l2,2.6156436178296807,3.1585504834919345,502.0,71.91977077363897,0,0.0,351,B
B011,0.36086494133870195,0.44973747511318024,0.5698005698005698,2,44.694346331461,347,351,14,l2,2.6257807982308967,3.272448750538639,673.0,78.80562060889929,0,0.0,351,B
B084,0.29168214854926455,0.353808058419025,0.8547008547008548,3,35.89085050900409,351,351,14,l2,2.632618366393362,3.193344527269149,780.0,77.22772277227723,0,0.0,351,B
B010,0.2509504876440855,0.31010544469310597,1.1396011396011396,4,29.30916012852773,351,351,14,l2,2.6553564419092126,3.2812866711971385,537.0,67.2090112640801,0,0.0,351,B
B082,0.3570685221633983,0.41900390794279196,0.8547008547008548,3,49.19388715643431,351,351,14,l2,2.6968337671087435,3.1646135611291784,656.0,77.54137115839244,0,0.0,351,B
B3,0.7531301816840278,1.1190784843367922,0.0,0,114.96454509160343,340,351,14,l2,2.737874962475269,4.068216940210105,121.0,56.018518518518526,0,279.06267806267806,351,B
B096,0.2903115251452478,0.36693954773682536,0.8547008547008548,3,32.738779637694755,351,351,14,l2,2.7608543331476842,3.48958464485904,617.0,72.07943925233646,0,0.0,351,B
B088,0.33102081122041715,0.4111201324334853,0.8547008547008548,3,34.69152759142601,351,351,14,l2,2.7896283749002677,3.4646534237556965,552.0,72.44094488188976,0,0.0,351,B
B10,0.4123431794907535,0.515645136276095,0.0,0,62.79436825024667,348,351,14,l2,2.8182657766333836,3.5243096351178114,105.0,37.234042553191486,0,237.05128205128204,351,B
B045,0.3011449755849551,0.3771639809020028,1.1396011396011396,4,34.76995798378754,351,351,14,l2,2.9488184646310276,3.6931982973224606,592.0,70.64439140811456,0,0.0,351,B
B046,0.33390172089321823,0.3852960657178769,1.1396011396011396,4,40.56159371524016,351,351,14,l2,2.9841871750485063,3.4435149805042164,486.0,68.83852691218131,0,0.0,351,B
B1,0.4519235422543596,0.564751495319032,0.0,0,80.37801485843852,351,351,14,l2,3.343719200098495,4.17851747391318,104.0,35.86206896551724,0,238.96011396011397,351,B
B8,0.8160407506495226,1.2363707563923227,0.0,0,121.89655670304347,313,351,14,l2,3.8570131205913336,5.843701096452603,47.0,28.65853658536585,0,100.44729344729345,351,B
B032,0.21878127332804892,0.2704600163332712,1.1396011396011396,4,24.575410248258194,351,351,14,l2,4.096383271543981,5.063997798695893,1294.0,73.56452529846503,0,0.0,351,B
B025,0.2108051179716277,0.2859552398817989,1.4245014245014245,5,21.92239704111624,351,351,14,l2,4.198084827981988,5.694664178842661,1164.0,70.07826610475617,0,0.0,351,B
B036,0.19877652192070633,0.24883405452540974,1.4245014245014245,5,23.791169362532266,351,351,14,l2,4.3509972020421275,5.446700971278413,1508.0,73.31064657267866,0,0.0,351,B
B069,0.2028363552930129,0.2501898410255881,1.1396011396011396,4,22.68768219637902,351,351,14,l2,4.4057674437433905,5.434322928715338,1602.0,74.58100558659217,0,0.0,351,B
B099,0.30181999982623703,0.37531137672930626,0.8547008547008548,3,44.486100496852615,351,351,14,l2,4.406915951878817,5.479973805520498,1220.0,77.11757269279393,0,0.0,351,B
B013,0.1995960921975489,0.2518919348577253,1.4245014245014245,5,21.387570360044048,351,351,14,l2,4.685105993206853,5.9126428811760645,1336.0,69.43866943866944,0,0.0,351,B
B055,0.24668033430700528,0.3107851594988984,1.1396011396011396,4,30.6073313386054,349,351,14,l2,4.734013481173754,5.964241693403361,1298.0,72.92134831460673,0,0.0,351,B
B059,0.2303860506454485,0.2973815457721243,0.8547008547008548,3,26.511029572130024,351,351,14,l2,4.748184303046081,6.128940461867655,1776.0,77.45311818578283,0,0.0,351,B
B9,0.8125396488387158,1.3011683677308588,0.0,0,95.98460941495564,307,351,14,l2,4.764121359857769,7.629072651823667,100.0,39.8406374501992,0,210.3988603988604,351,B
B001,0.2711197352887037,0.34774816604477354,0.8547008547008548,3,34.104466231645034,351,351,14,l2,4.84925839926633,6.21983756817404,1568.0,77.35569807597435,0,0.0,351,B
B057,0.25660315839142445,0.3287055368558218,1.4245014245014245,5,34.03968071858159,351,351,14,l2,5.05968791802578,6.481398919028897,1040.0,68.24146981627297,0,0.0,351,B
B053,0.2157545900226343,0.2854153385908954,1.1396011396011396,4,22.207395898543865,351,351,14,l2,5.079145804435975,6.719051119021564,1622.0,73.59346642468239,0,0.0,351,B
