dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B075,0.2572277879636062,0.341482493267511,0.8547008547008548,3,35.38392897844923,351,351,14,l2,1.6730798858145668,2.221095533133127,682.0,80.6146572104019,0,0.0,351,B
B060,0.232811217483406,0.29409283066580766,1.1396011396011396,4,31.467782078090252,351,351,14,l2,1.6827409081350455,2.1256795196557094,580.0,76.11548556430446,0,0.0,351,B
B049,0.30843797394549494,0.38485463631466144,0.5698005698005698,2,49.28905168883552,350,351,14,l2,1.8717176196692427,2.3354426648154667,709.0,82.73045507584598,0,0.0,351,B
B080,0.3247475652778114,0.39562465512943673,1.1396011396011396,4,43.519811555551286,351,351,14,l2,1.9558870455763342,2.3827650169334165,470.0,75.4414125200642,0,0.0,351,B
B045,0.2624023763108047,0.3235181244940599,0.5698005698005698,2,32.51996948142896,351,351,14,l2,1.958673008359853,2.414864632975604,930.0,83.10991957104558,0,0.0,351,B
B061,0.24311611783127876,0.3057610970135594,1.1396011396011396,4,27.61455353762827,351,351,14,l2,1.9691712905821241,2.4765777743861808,660.0,76.30057803468208,0,0.0,351,B
B002,0.29395662993936467,0.35022137367683204,1.1396011396011396,4,39.11087376906928,351,351,14,l2,2.0970581235560375,2.4984453552330126,597.0,76.6367137355584,0,0.0,351,B
B071,0.329653350237422,0.42682238439271797,0.8547008547008548,3,52.346469165742974,351,351,14,l2,2.103770668181838,2.7238807437028156,536.0,77.01149425287356,0,0.0,351,B
B079,0.24735935552135396,0.31341468773263,0.8547008547008548,3,28.45786919038089,351,351,14,l2,2.1162967083493616,2.681436772823612,1063.0,83.11180609851446,0,0.0,351,B
B082,0.242345182473496,0.30521475858233144,0.8547008547008548,3,30.578409334353264,351,351,14,l2,2.1244903888061173,2.675629094466763,932.0,80.8326105810928,0,0.0,351,B
B011,0.3171476907480437,0.4058427760039013,0.5698005698005698,2,40.41541381679262,351,351,14,l2,2.1269677037632335,2.721805967843828,1020.0,85.57046979865773,0,0.0,351,B
B058,0.3624280322549309,0.4579074501874909,0.8547008547008548,3,58.03170184540842,350,351,14,l2,2.1497867896147187,2.7161347900010147,547.0,78.70503597122303,0,0.0,351,B
B088,0.2943423972978614,0.3659466657536765,1.1396011396011396,4,37.472341967602105,351,351,14,l2,2.1509636725612946,2.67422563435379,581.0,76.24671916010499,0,0.0,351,B
B070,0.3310773352039208,0.4117671978673684,1.1396011396011396,4,48.249971544624174,350,351,14,l2,2.151531058689867,2.6759002231779694,481.0,74.57364341085271,0,0.0,351,B
B012,0.21445928123019442,0.26745039933193804,1.1396011396011396,4,21.845942975987175,351,351,14,l2,2.2105802834496964,2.756796423883054,743.0,73.93034825870647,0,0.0,351,B
B017,0.36238884577589886,0.4581849246015583,0.8547008547008548,3,54.192048670272484,351,351,14,l2,2.2300852047747624,2.81959953600959,582.0,79.291553133515,0,0.0,351,B
B084,0.273165525148998,0.33831495071206125,0.5698005698005698,2,32.96678240013811,351,351,14,l2,2.2569231422566784,2.7951947494728704,1281.0,85.97315436241611,0,0.0,351,B
B046,0.26554407127734814,0.32435794568516857,0.5698005698005698,2,41.42011790934808,351,351,14,l2,2.277929340786596,2.7824551978861614,1199.0,84.8549186128804,0,0.0,351,B
B009,0.31053364534279265,0.38979366038618,0.5698005698005698,2,41.12240164117328,351,351,14,l2,2.324136428249334,2.917344575027051,948.0,83.5978835978836,0,0.0,351,B
B065,0.42160459066325,0.5125615899945098,0.8547008547008548,3,76.75387456452303,347,351,14,l2,2.349454641986658,2.856326125439491,614.0,81.86666666666666,0,0.0,351,B
B086,0.2825917577705506,0.34955061832122075,1.1396011396011396,4,27.02853384776881,351,351,14,l2,2.3678129903224767,2.928855750662992,549.0,72.5231175693527,0,0.0,351,B
B030,0.35726676442164457,0.446268715243373,0.8547008547008548,3,56.75049292210193,351,351,14,l2,2.3726177432104087,2.963681980718811,528.0,75.86206896551724,0,0.0,351,B
B021,0.4093874509405811,0.5126295810441397,0.8547008547008548,3,61.82138804014511,337,351,14,l2,2.4038391350100787,3.010055745105333,404.0,73.58834244080145,0,0.0,351,B
B096,0.34807946073039464,0.4469189756671766,0.8547008547008548,3,45.97710438264595,349,351,14,l2,2.46432324762117,3.1640844858488144,598.0,77.16129032258064,0,0.0,351,B
