dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
B6,,,,0,90.13837172252224,266,351,14,l2,1.6259810607056246,2.0079055057026345,B
B7,,,,0,94.51651932854287,242,351,14,l2,1.648473670099334,2.2859195624169817,B
B071,,,,0,28.495808777529614,351,351,14,l2,1.766206517011005,2.287508789566189,B
B056,,,,0,23.307198138020322,351,351,14,l2,1.85560834891876,2.32794592057566,B
B082,,,,0,33.13276916353484,350,351,14,l2,1.8626432164248634,2.364488120508055,B
B039,,,,0,34.91706194462699,351,351,14,l2,1.9453958207141806,2.3649412908803207,B
B2,,,,0,62.7876529422741,280,351,14,l2,1.9833211927104342,4.332207850985894,B
B075,,,,0,31.54349501437672,351,351,14,l2,2.0671697608797768,2.686884161156331,B
B034,,,,0,37.6767518242044,351,351,14,l2,2.0854888124588764,2.5968516698488733,B
B5,,,,0,74.61895839362212,310,351,14,l2,2.113442480244415,3.1381316656922977,B
B009,,,,0,32.387449449680325,351,351,14,l2,2.1151283892888215,2.6549148288796207,B
B021,,,,0,30.98687588323615,351,351,14,l2,2.153201002724992,2.692187906069806,B
B092,,,,0,33.09945676491836,351,351,14,l2,2.2053374298838224,2.7033835651835982,B
B011,,,,0,60.15899728436065,351,351,14,l2,2.2197055493052287,2.8058835291469006,B
B010,,,,0,56.562006737808254,351,351,14,l2,2.224334886064599,2.823730890627229,B
B049,,,,0,23.784877008973957,351,351,14,l2,2.2295469826380643,2.746321768524845,B
B030,,,,0,40.22211237324807,351,351,14,l2,2.237876084160453,2.746550301953714,B
B060,,,,0,25.840532624667155,351,351,14,l2,2.2422848452483954,2.68568351333362,B
B043,,,,0,42.99793396497015,351,351,14,l2,2.3444064914024207,2.758785096009334,B
B096,,,,0,22.589014888154775,351,351,14,l2,2.351520673043484,3.0424856703441736,B
B065,,,,0,34.48287728669357,351,351,14,l2,2.3710776793902877,2.8730745192200953,B
B045,,,,0,41.50747296662077,351,351,14,l2,2.39745883921839,2.95306945355002,B
B077,,,,0,26.74058752394072,351,351,14,l2,2.4199809865571993,2.9720704466256525,B
B012,,,,0,38.46427896793215,351,351,14,l2,2.45416664475681,3.105473131706514,B
B037,,,,0,57.442073553183484,351,351,14,l2,2.481199817766722,3.1667940961825054,B
B002,,,,0,64.34039686103236,351,351,14,l2,2.4824216197546805,3.125878206530446,B
B020,,,,0,70.03245128814827,343,351,14,l2,2.4852688576680992,2.9657918367350993,B
B086,,,,0,55.99300900604711,351,351,14,l2,2.5079215422835355,3.021017148667764,B
B017,,,,0,84.73983003698548,350,351,14,l2,2.539195400032928,3.1516484400918765,B
B088,,,,0,36.15598525381604,351,351,14,l2,2.561546527822634,3.111221981097346,B
B070,,,,0,56.321867495676216,349,351,14,l2,2.6452345201158574,3.137707818371866,B
B079,,,,0,42.028606674669824,351,351,14,l2,2.6486275084404065,3.3654881419931018,B
B084,,,,0,33.095169225465625,351,351,14,l2,2.649824083710141,3.248594040241641,B
B3,,,,0,114.96454509160343,340,351,14,l2,2.737874962475269,4.068216940210105,B
B058,,,,0,45.47681965279366,351,351,14,l2,2.7765036560956626,3.453514333835741,B
B10,,,,0,62.79436825024667,348,351,14,l2,2.8182657766333836,3.5243096351178114,B
B018,,,,0,31.93606965515265,351,351,14,l2,3.1712704125010145,4.366703596912735,B
B061,,,,0,49.30130667104628,351,351,14,l2,3.179565649088261,3.974269130012914,B
B1,,,,0,80.37801485843852,351,351,14,l2,3.343719200098495,4.17851747391318,B
B046,,,,0,47.13978183813487,351,351,14,l2,3.6948520539384937,4.615403414767749,B
B080,,,,0,46.15647709300148,351,351,14,l2,3.760365023659131,4.618762046037472,B
B8,,,,0,121.89655670304347,313,351,14,l2,3.8570131205913336,5.843701096452603,B
B016,,,,0,30.5284643840327,351,351,14,l2,4.095045144299601,5.257451624767952,B
B032,,,,0,26.323744813765522,351,351,14,l2,4.186999799977706,5.1709668397912285,B
B078,,,,0,58.38389091745084,351,351,14,l2,4.187654879732882,5.268538197616482,B
B098,,,,0,21.221468591850293,351,351,14,l2,4.31605626313167,5.360966769885411,B
B036,,,,0,23.779777847467216,351,351,14,l2,4.531152002269681,5.6079613917024425,B
B094,,,,0,45.53445473344604,351,351,14,l2,4.565551441368679,5.79950861563338,B
B099,,,,0,24.20486897210172,351,351,14,l2,4.748500361536005,5.713124847567873,B
B9,,,,0,95.98460941495564,307,351,14,l2,4.764121359857769,7.629072651823667,B
B074,,,,0,28.856611976198497,351,351,14,l2,4.81075162259555,5.746076084662179,B
B052,,,,0,25.463568331264675,351,351,14,l2,4.812880801732515,6.03061748674528,B
B013,,,,0,56.55762193167565,350,351,14,l2,4.848572013908564,6.09060476668223,B
B044,,,,0,27.99980960676421,351,351,14,l2,4.887611317438203,5.772463045489048,B
B053,,,,0,28.113452459499605,351,351,14,l2,4.9041243171610915,5.893531328926328,B
B067,,,,0,26.155057332727193,351,351,14,l2,4.997619444532905,6.421243790939495,B
B047,,,,0,37.84312782936608,351,351,14,l2,5.01703150826529,6.009823882637231,B
B091,,,,0,30.969388471357195,351,351,14,l2,5.071394054140887,6.250088109191954,B
B003,,,,0,45.057718408217,351,351,14,l2,5.092711346862391,6.2318426155804065,B
B072,,,,0,36.563272710642295,351,351,14,l2,5.207178819641755,6.36543741987237,B
B100,,,,0,51.81816133523769,351,351,14,l2,5.224522129362239,6.885629839939056,B
B050,,,,0,31.817233761157667,351,351,14,l2,5.376456649252812,6.429662589012777,B
B035,,,,0,33.24038242090225,351,351,14,l2,5.393236292790169,6.835728214203997,B
