dataset_id,mae,rmse,mape,mape_count,total_samples,horizon,objective,category
B6,1.6259810607056246,2.0079055057026345,90.13837172252224,266,351,14,l2,B
B7,1.648473670099334,2.2859195624169817,94.51651932854287,242,351,14,l2,B
B2,1.9833211927104342,4.332207850985894,62.7876529422741,280,351,14,l2,B
B5,2.113442480244415,3.1381316656922977,74.61895839362212,310,351,14,l2,B
B3,2.737874962475269,4.068216940210105,114.96454509160343,340,351,14,l2,B
B10,2.8182657766333836,3.5243096351178114,62.79436825024667,348,351,14,l2,B
B1,3.343719200098495,4.17851747391318,80.37801485843852,351,351,14,l2,B
B8,3.8570131205913336,5.843701096452603,121.89655670304347,313,351,14,l2,B
B9,4.764121359857769,7.629072651823667,95.98460941495564,307,351,14,l2,B
B4,5.712789428102214,8.418625962144585,48.0595181002151,348,351,14,l2,B
C6,8.434279484638537,10.645077772707893,7.4981154899843085,351,351,14,l2,C
E1,8.902600279107437,10.971287860993472,7.570649396120674,351,351,14,l2,E
D4,9.0194732728139,10.94552274713896,7.589316175132719,351,351,14,l2,D
C2,9.19005826786898,11.736505543705157,7.819178622649386,351,351,14,l2,C
E2,9.39873319103516,10.941280374428892,10.699495924076254,351,351,14,l2,E
D8,10.259078190859645,13.436654356562368,9.63549248381549,351,351,14,l2,D
C10,10.370769164511367,13.65144046126232,9.392503193643439,351,351,14,l2,C
C3,10.401176336643099,12.804883920039204,6.1056734692933095,351,351,14,l2,C
D10,10.782546023980345,13.913047623823157,8.028188817540947,351,351,14,l2,D
C9,10.847077295579096,13.988805740743668,4.63473204665695,351,351,14,l2,C
C4,10.890446801724842,14.080730377435017,6.799933467835357,351,351,14,l2,C
D7,11.309665867117046,14.977361041078643,9.183195614465692,351,351,14,l2,D
E3,11.912888548202256,20.15120684349774,12.53174322016099,351,351,14,l2,E
D1,12.266530829517349,15.088895673733624,8.95110695432821,351,351,14,l2,D
C7,12.705858192851377,14.99061133638769,7.8349517313918176,351,351,14,l2,C
C8,12.88126080434328,16.038123375484073,6.317670097580845,351,351,14,l2,C
C1,12.912307969658082,16.476099442102118,5.761893721136019,351,351,14,l2,C
D9,12.914185636987677,16.322789516357197,5.569898550347996,351,351,14,l2,D
E9,13.147422540831995,16.577984329131574,9.69212895702928,351,351,14,l2,E
D2,13.351696181574093,17.24107591717956,6.127046728341509,351,351,14,l2,D
E7,13.408583341471505,16.00186605883765,7.4929507225604555,351,351,14,l2,E
E8,14.428493105499644,20.594711258990433,16.429486331401154,351,351,14,l2,E
C5,14.490998935441576,17.850928147906743,7.1782522282657535,351,351,14,l2,C
D5,14.547484193278873,18.40268647506214,8.821758139232019,351,351,14,l2,D
E5,15.961621720143096,21.65849475752903,14.944293997187524,351,351,14,l2,E
E10,16.059788006294692,19.09699209525296,17.482945852862436,351,351,14,l2,E
A10,16.613081237806302,21.90680720386746,2.6383166897276866,351,351,14,l2,A
E4,17.77575351185658,24.50243775153256,10.471933547696034,351,351,14,l2,E
A7,19.813496951264057,23.975469161118173,3.1476705569904873,351,351,14,l2,A
E6,20.160768938311765,27.774758155884008,10.084702122919738,351,351,14,l2,E
D6,22.176885980033852,27.848966264605533,11.546582546133905,351,351,14,l2,D
A3,23.21507029249116,29.460221440739726,3.4416478073174215,351,351,14,l2,A
A9,23.26036932340786,29.217092920432336,3.5633291441813117,351,351,14,l2,A
A4,23.913132270589532,29.148448501563088,3.6754337103794077,351,351,14,l2,A
A2,24.9454951542022,30.024824493334815,2.5449768006892306,351,351,14,l2,A
A6,27.743232397418467,33.628704051313846,3.8942993318303456,351,351,14,l2,A
A1,29.336440832099356,36.23807112131584,3.132748139943818,351,351,14,l2,A
A5,31.06383089515013,38.85837750356028,3.3720132928001814,351,351,14,l2,A
A8,31.761487317655167,37.23255111901882,4.983478632034871,351,351,14,l2,A
D3,32.601462354487275,38.69241739809415,24.591187940055253,351,351,14,l2,D
