dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B010,0.31053091684851997,0.3941565581961286,1.1396011396011396,4,36.398502240593075,351,351,14,l2,2.005622759246709,2.5457348074946538,296.0,64.77024070021882,0,0.0,351,B
B082,0.2661654907965631,0.33306533817300454,0.8547008547008548,3,38.836309744700905,351,351,14,l2,2.0292275024831987,2.53926736453265,613.0,76.24378109452736,0,0.0,351,B
B009,0.3164498188626118,0.3873615278321933,1.1396011396011396,4,49.92707150418939,351,351,14,l2,2.0393432771146096,2.49632984602969,394.0,70.86330935251799,0,0.0,351,B
B017,0.2190888177329504,0.2725107727910635,1.1396011396011396,4,21.552692371301728,351,351,14,l2,2.073541460139206,2.5791475419142817,428.0,64.16791604197901,0,0.0,351,B
B060,0.26566330780388125,0.3336118736022801,1.1396011396011396,4,31.04347255329208,351,351,14,l2,2.09427456607789,2.6299260805057236,489.0,71.38686131386861,0,0.0,351,B
B049,0.2163911898132019,0.28003154136532193,0.5698005698005698,2,25.12485512866175,351,351,14,l2,2.1540479122715883,2.7875504431066522,858.0,77.29729729729729,0,0.0,351,B
B077,0.21053633500151261,0.25820160300683787,1.1396011396011396,4,23.522496101944203,351,351,14,l2,2.1623461187477293,2.651899654813819,576.0,69.39759036144578,0,0.0,351,B
B018,0.22617512948269886,0.27898491036988393,0.5698005698005698,2,28.013614527578962,351,351,14,l2,2.1889370793525016,2.700033448793435,912.0,78.75647668393782,0,0.0,351,B
B075,0.3790543378094499,0.4737854433999136,0.5698005698005698,2,63.42641725613041,348,351,14,l2,2.1922515833424026,2.7401266384667364,623.0,81.11979166666666,0,0.0,351,B
B034,0.33628442175606327,0.4204222994403514,0.5698005698005698,2,52.12302428415051,351,351,14,l2,2.204531209289748,2.756101740775637,548.0,76.75070028011206,0,0.0,351,B
B011,0.2905720486889303,0.35914823293216724,1.1396011396011396,4,34.92525136310275,351,351,14,l2,2.252554257785126,2.784166215978425,369.0,64.8506151142355,0,0.0,351,B
B030,0.28945424841707273,0.3392215904813147,0.5698005698005698,2,34.771170024170175,351,351,14,l2,2.285121716135922,2.6780143225747097,742.0,78.93617021276596,0,0.0,351,B
B084,0.2869979237719262,0.3737274356695808,0.8547008547008548,3,37.75078538902096,351,351,14,l2,2.3515841275443297,3.0622225213268215,643.0,75.8254716981132,0,0.0,351,B
B086,0.30808238005431476,0.40174782894923905,0.8547008547008548,3,34.92824769337806,351,351,14,l2,2.352309910386221,3.0674763008090045,504.0,72.41379310344827,0,0.0,351,B
B070,0.28904251700205136,0.38578259630643025,0.5698005698005698,2,32.368799727253254,351,351,14,l2,2.35763169850961,3.1467110348299427,676.0,76.38418079096046,0,0.0,351,B
B061,0.31235052371317834,0.3836281434898316,1.1396011396011396,4,41.461667299284436,351,351,14,l2,2.3929075734038077,2.9389631847411883,467.0,71.29770992366412,0,0.0,351,B
B020,0.35588386599426647,0.4443118459732112,0.5698005698005698,2,47.92473323282281,351,351,14,l2,2.4110878442574517,3.01018111032563,604.0,77.83505154639175,0,0.0,351,B
B043,0.2622714198400195,0.32158426017504654,0.8547008547008548,3,30.46660428996974,351,351,14,l2,2.4344167687714635,2.9849615944453043,663.0,74.16107382550335,0,0.0,351,B
B096,0.3678725982630937,0.44638239018638776,0.8547008547008548,3,54.93098843719394,351,351,14,l2,2.4556281986621897,2.9796978353467423,371.0,68.7037037037037,0,0.0,351,B
B071,0.3227451983380223,0.4042582282367363,0.8547008547008548,3,35.385518885245006,351,351,14,l2,2.4808163678518067,3.1073752130561667,460.0,70.44410413476263,0,0.0,351,B
B088,0.38782297256959275,0.46640259723172156,1.1396011396011396,4,50.92636456213467,351,351,14,l2,2.5678079437371326,3.088090130958749,480.0,74.07407407407408,0,0.0,351,B
